V1	I(D1)
-5.000000000000000e+00	-2.525001e-09
-4.990000000000000e+00	-2.524991e-09
-4.980000000000000e+00	-2.524980e-09
-4.970000000000000e+00	-2.524971e-09
-4.960000000000000e+00	-2.524961e-09
-4.950000000000000e+00	-2.524950e-09
-4.940000000000000e+00	-2.524941e-09
-4.930000000000000e+00	-2.524930e-09
-4.920000000000000e+00	-2.524921e-09
-4.910000000000000e+00	-2.524911e-09
-4.900000000000000e+00	-2.524901e-09
-4.890000000000000e+00	-2.524891e-09
-4.880000000000000e+00	-2.524880e-09
-4.870000000000000e+00	-2.524871e-09
-4.860000000000000e+00	-2.524861e-09
-4.850000000000000e+00	-2.524850e-09
-4.840000000000000e+00	-2.524841e-09
-4.830000000000000e+00	-2.524830e-09
-4.820000000000000e+00	-2.524821e-09
-4.810000000000000e+00	-2.524811e-09
-4.800000000000000e+00	-2.524800e-09
-4.790000000000000e+00	-2.524791e-09
-4.780000000000000e+00	-2.524780e-09
-4.770000000000000e+00	-2.524771e-09
-4.760000000000000e+00	-2.524761e-09
-4.750000000000000e+00	-2.524750e-09
-4.740000000000000e+00	-2.524741e-09
-4.730000000000000e+00	-2.524730e-09
-4.720000000000000e+00	-2.524721e-09
-4.710000000000000e+00	-2.524711e-09
-4.700000000000000e+00	-2.524700e-09
-4.690000000000000e+00	-2.524691e-09
-4.680000000000000e+00	-2.524680e-09
-4.670000000000000e+00	-2.524671e-09
-4.660000000000000e+00	-2.524661e-09
-4.650000000000000e+00	-2.524650e-09
-4.640000000000000e+00	-2.524641e-09
-4.630000000000000e+00	-2.524630e-09
-4.620000000000000e+00	-2.524621e-09
-4.610000000000000e+00	-2.524611e-09
-4.600000000000000e+00	-2.524600e-09
-4.590000000000000e+00	-2.524591e-09
-4.580000000000000e+00	-2.524580e-09
-4.570000000000000e+00	-2.524571e-09
-4.560000000000000e+00	-2.524561e-09
-4.550000000000000e+00	-2.524550e-09
-4.540000000000000e+00	-2.524541e-09
-4.530000000000000e+00	-2.524531e-09
-4.520000000000000e+00	-2.524521e-09
-4.510000000000000e+00	-2.524511e-09
-4.500000000000000e+00	-2.524500e-09
-4.490000000000000e+00	-2.524491e-09
-4.480000000000000e+00	-2.524482e-09
-4.470000000000000e+00	-2.524470e-09
-4.460000000000000e+00	-2.524461e-09
-4.450000000000000e+00	-2.524450e-09
-4.440000000000000e+00	-2.524441e-09
-4.430000000000000e+00	-2.524431e-09
-4.420000000000000e+00	-2.524420e-09
-4.410000000000000e+00	-2.524411e-09
-4.400000000000000e+00	-2.524400e-09
-4.390000000000000e+00	-2.524391e-09
-4.380000000000000e+00	-2.524381e-09
-4.370000000000000e+00	-2.524370e-09
-4.360000000000000e+00	-2.524361e-09
-4.350000000000000e+00	-2.524350e-09
-4.340000000000000e+00	-2.524341e-09
-4.330000000000000e+00	-2.524331e-09
-4.320000000000000e+00	-2.524320e-09
-4.310000000000000e+00	-2.524311e-09
-4.300000000000000e+00	-2.524300e-09
-4.290000000000000e+00	-2.524291e-09
