time	V(N003,N002)
0.000000000000000e+00	0.000000e+00
9.999999717180685e-10	0.000000e+00
1.999999943436137e-09	0.000000e+00
1.640177561743656e-05	-8.667002e-09
3.280155123492968e-05	-2.736948e-09
4.920132685242280e-05	1.779016e-08
6.560110246991593e-05	5.291433e-08
8.200087808740906e-05	1.026355e-07
9.840065370490217e-05	1.669538e-07
1.148004293223953e-04	2.458692e-07
1.435299103842232e-04	5.438924e-07
1.760025832858914e-04	1.162291e-06
2.116287341636215e-04	2.443790e-06
2.496495996737816e-04	5.170703e-06
2.894409287263196e-04	1.086295e-05
3.304386204121169e-04	2.279878e-05
3.722655946453899e-04	4.780293e-05
4.146325799651917e-04	1.002252e-04
4.573778447950687e-04	2.102852e-04
5.003952994119717e-04	4.411042e-04
5.436565235083800e-04	9.247661e-04
5.871851294218487e-04	1.935869e-03
6.311034698947903e-04	4.040509e-03
6.756933079727061e-04	8.384466e-03
7.215878651680887e-04	1.721996e-02
7.701424700533955e-04	3.480488e-02
8.247564833624102e-04	6.927609e-02
8.952548487974839e-04	1.357643e-01
9.605842159705885e-04	2.150374e-01
1.040475643636815e-03	3.253921e-01
1.134909648956212e-03	4.614666e-01
1.243539866959848e-03	6.185679e-01
1.395999912902615e-03	8.355215e-01
1.640140537902615e-03	1.173512e+00
1.884281162902615e-03	1.498773e+00
2.128421787902616e-03	1.808302e+00
2.372562412902616e-03	2.100277e+00
2.616703037902616e-03	2.372995e+00
2.860843662902616e-03	2.624882e+00
3.104984287902616e-03	2.854497e+00
3.349124912902616e-03	3.060548e+00
3.593265537902616e-03	3.241899e+00
3.837406162902616e-03	3.397581e+00
4.081546787902616e-03	3.526803e+00
4.325687412902616e-03	3.628968e+00
4.569828037902616e-03	3.703680e+00
4.813968662902616e-03	3.750771e+00
5.058109287902616e-03	3.770321e+00
5.302249912902616e-03	3.762701e+00
5.546390537902616e-03	3.728631e+00
5.790531162902616e-03	3.669262e+00
6.034671787902616e-03	3.586342e+00
6.278812412902616e-03	3.482399e+00
6.522953037902616e-03	3.360927e+00
6.767093662902616e-03	3.226498e+00
7.011234287902616e-03	3.084532e+00
7.255374912902616e-03	2.940470e+00
7.499515537902616e-03	2.798688e+00
7.743656162902616e-03	2.661853e+00
7.987796787902617e-03	2.531088e+00
8.231937412902617e-03	2.406591e+00
8.476078037902617e-03	2.288188e+00
8.720218662902617e-03	2.175606e+00
8.964359287902617e-03	2.068563e+00
9.208499912902617e-03	1.966786e+00
9.452640537902617e-03	1.870017e+00
9.696781162902617e-03	1.778009e+00
9.940921787902617e-03	1.690528e+00
1.018506241290262e-02	1.607352e+00
1.042920303790262e-02	1.528267e+00
1.067334366290262e-02	1.453074e+00
1.091748428790262e-02	1.381587e+00
1.116162491290262e-02	1.313518e+00
1.133315885932383e-02	1.268312e+00
1.143396280699097e-02	1.244574e+00
1.150284685882521e-02	1.232907e+00
