time	V(N003,N002)
0.000000000000000e+00	0.000000e+00
9.999999717180685e-10	0.000000e+00
1.999999943436137e-09	0.000000e+00
1.636806930137061e-05	-7.602633e-10
3.273413860279779e-05	-9.123160e-10
4.910020790422496e-05	-4.561580e-10
6.546627720565214e-05	6.082107e-10
8.183234650707931e-05	2.280790e-09
9.819841580850649e-05	4.561580e-09
1.145644851099336e-04	7.450581e-09
1.432014540100784e-04	7.450581e-09
1.755748142559782e-04	1.490116e-08
2.111088157445483e-04	1.490116e-08
2.490486610649375e-04	4.470348e-08
2.887754220747221e-04	1.192093e-07
3.297219333171919e-04	2.384186e-07
3.715088717384800e-04	4.768372e-07
4.138396414259472e-04	9.834766e-07
4.565440078453112e-04	2.086163e-06
4.994991049198558e-04	4.410744e-06
5.426463089305462e-04	9.268522e-06
5.859465117485393e-04	1.940131e-05
6.293919071241195e-04	4.076958e-05
6.729865198027839e-04	8.553267e-05
7.167611344393161e-04	1.794696e-04
7.607783211383109e-04	3.758073e-04
8.051713841942859e-04	7.848144e-04
8.502093143747681e-04	1.630962e-03
8.964429409441206e-04	3.364801e-03
9.449845798442894e-04	6.878316e-03
9.979102750622094e-04	1.395464e-02
1.059695779876479e-03	2.848506e-02
1.139479043436859e-03	5.964160e-02
1.250941750295043e-03	1.249267e-01
1.371706622344956e-03	2.226434e-01
1.562864467393591e-03	4.177209e-01
1.807005092393591e-03	7.027156e-01
2.051145717393591e-03	1.005720e+00
2.295286342393591e-03	1.310132e+00
2.539426967393591e-03	1.605150e+00
2.783567592393591e-03	1.884963e+00
3.027708217393591e-03	2.146178e+00
3.271848842393591e-03	2.386608e+00
3.515989467393591e-03	2.604687e+00
3.760130092393591e-03	2.799238e+00
4.004270717393591e-03	2.969391e+00
4.248411342393591e-03	3.114590e+00
4.492551967393591e-03	3.234636e+00
4.736692592393591e-03	3.329803e+00
4.980833217393591e-03	3.401029e+00
5.224973842393591e-03	3.450172e+00
5.469114467393591e-03	3.480326e+00
5.713255092393591e-03	3.495898e+00
5.957395717393591e-03	3.502237e+00
6.123057089727595e-03	3.503278e+00
6.272467229551353e-03	3.502916e+00
6.421274929593276e-03	3.502114e+00
6.564101783070478e-03	3.501175e+00
6.745997444931411e-03	3.499895e+00
6.990138069931411e-03	3.498142e+00
7.234278694931411e-03	3.496380e+00
7.478419319931411e-03	3.494617e+00
7.722559944931411e-03	3.492855e+00
7.966700569931411e-03	3.491094e+00
8.210841194931411e-03	3.489333e+00
8.454981819931411e-03	3.487574e+00
8.699122444931411e-03	3.485815e+00
8.943263069931411e-03	3.484057e+00
9.187403694931411e-03	3.482300e+00
9.431544319931411e-03	3.480544e+00
9.675684944931411e-03	3.478788e+00
9.919825569931411e-03	3.477034e+00
1.016396619493141e-02	3.475281e+00
1.040810681993141e-02	3.473528e+00
1.065224744493141e-02	3.471776e+00
1.089638806993141e-02	3.470026e+00
