time	V(N003,N002)
0.000000000000000e+00	0.000000e+00
9.999999717180685e-10	0.000000e+00
1.999999943436137e-09	0.000000e+00
1.640176644837418e-05	-5.625949e-09
3.280153289680492e-05	-3.345159e-09
4.920129934523566e-05	6.842370e-09
6.560106579366640e-05	2.493664e-08
8.200083224209714e-05	5.093764e-08
9.840059869052788e-05	8.484539e-08
1.148003651389586e-04	1.266599e-07
1.435297996336501e-04	2.682209e-07
1.760023819923561e-04	5.662441e-07
2.116283573154069e-04	1.221895e-06
2.496488766129228e-04	2.577901e-06
2.894395161381817e-04	5.424023e-06
3.304358161267448e-04	1.138449e-05
3.722599486931803e-04	2.390146e-05
4.146210768076804e-04	5.012751e-05
4.573541773373847e-04	1.051724e-04
5.003462361918682e-04	2.206564e-04
5.435542170952594e-04	4.629493e-04
5.869708185992729e-04	9.705126e-04
6.306525847792965e-04	2.031267e-03
6.747396356298509e-04	4.237473e-03
7.195526344493743e-04	8.785367e-03
7.657855240946276e-04	1.801866e-02
8.149245502775399e-04	3.636509e-02
8.707153307844918e-04	7.176554e-02
9.351823977250169e-04	1.321545e-01
1.002460114986190e-03	2.129364e-01
1.083756914554820e-03	3.239360e-01
1.179366457069635e-03	4.606435e-01
1.290076293438051e-03	6.197315e-01
1.440699964127408e-03	8.326705e-01
1.684840589127408e-03	1.168169e+00
1.928981214127408e-03	1.490668e+00
2.173121839127408e-03	1.797127e+00
2.417262464127408e-03	2.085742e+00
2.661403089127408e-03	2.354835e+00
2.905543714127408e-03	2.602853e+00
3.149684339127408e-03	2.828382e+00
3.393824964127408e-03	3.030158e+00
3.637965589127408e-03	3.207075e+00
3.882106214127408e-03	3.358195e+00
4.126246839127408e-03	3.482763e+00
4.370387464127408e-03	3.580218e+00
4.614528089127408e-03	3.650206e+00
4.858668714127408e-03	3.692605e+00
5.102809339127408e-03	3.707553e+00
5.346949964127408e-03	3.695488e+00
5.591090589127408e-03	3.657214e+00
5.835231214127408e-03	3.594016e+00
6.079371839127408e-03	3.507811e+00
6.323512464127408e-03	3.401326e+00
6.567653089127408e-03	3.278317e+00
6.811793714127408e-03	3.143638e+00
7.055934339127408e-03	3.002819e+00
7.300074964127408e-03	2.860966e+00
7.512403792900055e-03	2.739764e+00
7.694781200988232e-03	2.638822e+00
7.877697870565997e-03	2.541324e+00
8.106746117193430e-03	2.424252e+00
8.350886742193430e-03	2.305079e+00
8.595027367193430e-03	2.191667e+00
8.839167992193430e-03	2.083834e+00
9.083308617193430e-03	1.981306e+00
9.327449242193430e-03	1.883823e+00
9.571589867193430e-03	1.791136e+00
9.815730492193430e-03	1.703010e+00
1.005987111719343e-02	1.619219e+00
1.030401174219343e-02	1.539551e+00
1.054815236719343e-02	1.463803e+00
1.079229299219343e-02	1.391782e+00
1.103643361719343e-02	1.323344e+00
1.128057424219343e-02	1.258356e+00
1.141719272699469e-02	1.224636e+00
