time	V(N003,N002)
0.000000000000000e+00	0.000000e+00
9.999999717180685e-10	2.273737e-13
1.999999943436137e-09	9.094947e-13
9.363999735167997e-06	9.358897e-08
1.872599947039256e-05	7.309174e-07
2.808799920561712e-05	1.911986e-06
3.744999894084168e-05	3.636796e-06
4.681199867606624e-05	5.905345e-06
5.617399841129080e-05	8.717635e-06
6.553599814651534e-05	1.207367e-05
1.310719962930307e-04	1.089424e-04
2.621439925860614e-04	3.577188e-03
4.779336830603372e-04	4.135671e-02
6.551315267859486e-04	1.397185e-01
8.357137646853456e-04	3.176945e-01
1.079854389685346e-03	6.148860e-01
1.323995014685346e-03	9.292151e-01
1.568135639685346e-03	1.244977e+00
1.812276264685346e-03	1.554306e+00
2.056416889685346e-03	1.852444e+00
2.300557514685346e-03	2.135915e+00
2.544698139685346e-03	2.402239e+00
2.788838764685346e-03	2.649329e+00
3.032979389685346e-03	2.875350e+00
3.277120014685346e-03	3.078694e+00
3.521260639685346e-03	3.257965e+00
3.765401264685346e-03	3.411954e+00
4.009541889685346e-03	3.539642e+00
4.253682514685346e-03	3.640194e+00
4.497823139685346e-03	3.712955e+00
4.741963764685346e-03	3.757456e+00
4.986104389685346e-03	3.773410e+00
5.230245014685346e-03	3.760715e+00
5.474385639685346e-03	3.719453e+00
5.718526264685346e-03	3.649889e+00
5.962666889685346e-03	3.552472e+00
6.206807514685346e-03	3.427834e+00
6.450948139685346e-03	3.276791e+00
6.695088764685346e-03	3.100342e+00
6.939229389685346e-03	2.899673e+00
7.183370014685346e-03	2.676160e+00
7.427510639685346e-03	2.431387e+00
7.671651264685346e-03	2.167166e+00
7.915791889685345e-03	1.885593e+00
8.159932514685345e-03	1.589147e+00
8.404073139685345e-03	1.280929e+00
8.648213764685345e-03	9.652389e-01
8.892354389685345e-03	6.498389e-01
9.136495014685345e-03	3.541115e-01
9.380635639685345e-03	1.194893e-01
9.560171415364253e-03	2.855107e-02
9.761315078902552e-03	1.977175e-03
9.876106894659748e-03	1.022220e-04
9.993415159424862e-03	5.829334e-05
1.022803168895509e-02	4.088446e-03
1.047217231395509e-02	4.373449e-02
1.066579354041235e-02	1.520976e-01
1.086341890930531e-02	3.499717e-01
1.110755953430531e-02	6.497141e-01
1.135170015930531e-02	9.650949e-01
1.159584078430531e-02	1.280601e+00
1.183998140930531e-02	1.588815e+00
1.208412203430531e-02	1.885402e+00
1.232826265930531e-02	2.167040e+00
1.257240328430531e-02	2.431283e+00
1.281654390930531e-02	2.676070e+00
1.306068453430531e-02	2.899593e+00
1.330482515930531e-02	3.100273e+00
1.354896578430531e-02	3.276732e+00
1.379310640930531e-02	3.427784e+00
1.403724703430531e-02	3.552432e+00
1.428138765930531e-02	3.649858e+00
1.452552828430531e-02	3.719433e+00
1.476966890930531e-02	3.760705e+00
1.501380953430531e-02	3.773410e+00
1.525795015930531e-02	3.757466e+00
1.550209078430531e-02	3.712975e+00
1.574623140930531e-02	3.640224e+00
1.599037203430531e-02	3.539683e+00
1.623451265930531e-02	3.412005e+00
1.647865328430531e-02	3.258025e+00
1.672279390930531e-02	3.078765e+00
1.696693453430531e-02	2.875430e+00
1.721107515930531e-02	2.649421e+00
1.745521578430531e-02	2.402345e+00
1.769935640930531e-02	2.136044e+00
1.794349703430531e-02	1.852649e+00
1.818763765930531e-02	1.554696e+00
1.843177828430531e-02	1.245382e+00
1.867591890930531e-02	9.293721e-01
1.892005953430531e-02	6.149527e-01
1.916420015930531e-02	3.239422e-01
1.940834078430531e-02	9.986708e-02
1.957807602473281e-02	2.206776e-02
1.976790012491388e-02	1.535386e-03
1.987854683886109e-02	9.458512e-05
2.000005725726562e-02	7.177216e-05
2.024307809407468e-02	5.167380e-03
2.048721871907468e-02	4.994982e-02
2.068334830820682e-02	1.669780e-01
2.088187679729291e-02	3.712156e-01
2.112601742229291e-02	6.733512e-01
2.137015804729291e-02	9.891253e-01
2.161429867229291e-02	1.304245e+00
2.185843929729291e-02	1.611699e+00
2.210257992229291e-02	1.907250e+00
2.234672054729291e-02	2.187653e+00
2.259086117229291e-02	2.450494e+00
2.283500179729291e-02	2.693733e+00
2.307914242229291e-02	2.915582e+00
2.332328304729291e-02	3.114477e+00
2.356742367229291e-02	3.289053e+00
2.381156429729291e-02	3.438142e+00
2.405570492229291e-02	3.560758e+00
2.429984554729291e-02	3.656099e+00
2.454398617229291e-02	3.723547e+00
2.478812679729291e-02	3.762666e+00
2.503226742229291e-02	3.773206e+00
2.527640804729291e-02	3.755098e+00
2.552054867229291e-02	3.708458e+00
2.576468929729291e-02	3.633587e+00
2.600882992229291e-02	3.530969e+00
2.625297054729291e-02	3.401271e+00
2.649711117229291e-02	3.245342e+00
2.674125179729291e-02	3.064217e+00
2.698539242229291e-02	2.859116e+00
2.722953304729291e-02	2.631456e+00
2.747367367229291e-02	2.382859e+00
2.771781429729291e-02	2.115187e+00
2.796195492229291e-02	1.830596e+00
2.820609554729291e-02	1.531662e+00
2.845023617229291e-02	1.221648e+00
2.869437679729291e-02	9.053872e-01
2.893851742229291e-02	5.916616e-01
2.918265804729291e-02	3.043430e-01
2.942679867229291e-02	8.885530e-02
2.959543039194404e-02	1.676005e-02
2.975189580891093e-02	1.443416e-03
2.987328067375095e-02	1.175925e-04
2.999460349423355e-02	6.728899e-05
3.023724913519875e-02	4.751384e-03
3.048138976019875e-02	4.750943e-02
3.067670555347570e-02	1.613053e-01
3.087502375077083e-02	3.632982e-01
3.111916437577083e-02	6.645677e-01
3.136330500077082e-02	9.802053e-01
3.160744562577082e-02	1.295472e+00
3.185158625077082e-02	1.603211e+00
3.209572687577082e-02	1.899148e+00
3.233986750077082e-02	2.180011e+00
3.258400812577082e-02	2.443374e+00
3.282814875077082e-02	2.687189e+00
3.307228937577082e-02	2.909661e+00
3.331643000077082e-02	3.109219e+00
3.356057062577082e-02	3.284496e+00
3.380471125077082e-02	3.434314e+00
3.404885187577082e-02	3.557685e+00
3.429299250077082e-02	3.653800e+00
3.453713312577082e-02	3.722038e+00
3.478127375077082e-02	3.761957e+00
3.502541437577082e-02	3.773301e+00
3.526955500077082e-02	3.755996e+00
3.551369562577082e-02	3.710154e+00
3.575783625077082e-02	3.636070e+00
3.600197687577082e-02	3.534223e+00
3.624611750077082e-02	3.405273e+00
3.649025812577082e-02	3.250068e+00
3.673439875077082e-02	3.069634e+00
3.697853937577082e-02	2.865188e+00
3.722268000077082e-02	2.638140e+00
3.746682062577082e-02	2.390107e+00
3.771096125077082e-02	2.122942e+00
3.795510187577082e-02	1.838794e+00
3.819924250077082e-02	1.540221e+00
3.844338312577082e-02	1.230464e+00
3.868752375077082e-02	9.142916e-01
3.893166437577082e-02	6.002952e-01
3.917580500077082e-02	3.115612e-01
3.941994562577082e-02	9.279785e-02
3.958873388898427e-02	1.851878e-02
3.975437806165300e-02	1.505271e-03
3.987144700927591e-02	1.159385e-04
3.999294978773317e-02	6.658956e-05
4.023595534464769e-02	4.667237e-03
4.048009596964769e-02	4.699153e-02
4.067531327014585e-02	1.601447e-01
4.087366571874407e-02	3.617395e-01
4.111780634374407e-02	6.628274e-01
4.136194696874407e-02	9.784372e-01
4.160608759374407e-02	1.293733e+00
4.185022821874407e-02	1.601528e+00
4.209436884374407e-02	1.897541e+00
4.233850946874407e-02	2.178495e+00
4.258265009374407e-02	2.441961e+00
4.282679071874407e-02	2.685890e+00
4.307093134374407e-02	2.908486e+00
4.331507196874407e-02	3.108175e+00
4.355921259374407e-02	3.283590e+00
4.380335321874407e-02	3.433553e+00
4.404749384374407e-02	3.557073e+00
4.429163446874407e-02	3.653343e+00
4.453577509374407e-02	3.721737e+00
4.477991571874407e-02	3.761814e+00
4.502405634374407e-02	3.773317e+00
4.526819696874407e-02	3.756171e+00
4.551233759374407e-02	3.710487e+00
4.575647821874407e-02	3.636559e+00
4.600061884374407e-02	3.534865e+00
4.624475946874407e-02	3.406064e+00
4.648890009374407e-02	3.251002e+00
4.673304071874407e-02	3.070706e+00
4.697718134374407e-02	2.866390e+00
4.722132196874407e-02	2.639463e+00
4.746546259374407e-02	2.391541e+00
4.770960321874407e-02	2.124477e+00
4.795374384374407e-02	1.840417e+00
4.819788446874407e-02	1.541916e+00
4.844202509374407e-02	1.232211e+00
4.868616571874407e-02	9.160563e-01
4.893030634374407e-02	6.020080e-01
4.917444696874407e-02	3.130001e-01
4.941858759374407e-02	9.359607e-02
4.958742359467666e-02	1.890981e-02
4.975558319260172e-02	1.580074e-03
4.988286210105909e-02	1.059473e-04
5.000541669946472e-02	7.821480e-05
5.024955732446472e-02	5.672261e-03
5.049369794946472e-02	5.279818e-02
5.069100597511820e-02	1.736822e-01
5.089003902478364e-02	3.807165e-01
5.113417964978364e-02	6.838210e-01
5.137832027478364e-02	9.997454e-01
5.162246089978364e-02	1.314686e+00
5.186660152478364e-02	1.621796e+00
5.211074214978364e-02	1.916884e+00
5.235488277478364e-02	2.196736e+00
5.259902339978364e-02	2.458953e+00
5.284316402478364e-02	2.701505e+00
5.308730464978364e-02	2.922611e+00
5.333144527478364e-02	3.120713e+00
5.357558589978364e-02	3.294456e+00
5.381972652478364e-02	3.442674e+00
5.406386714978364e-02	3.564390e+00
5.430800777478364e-02	3.658808e+00
5.455214839978364e-02	3.725314e+00
5.479628902478364e-02	3.763481e+00
5.504042964978364e-02	3.773063e+00
5.528457027478364e-02	3.753998e+00
5.552871089978364e-02	3.706409e+00
5.577285152478364e-02	3.630602e+00
5.601699214978364e-02	3.527066e+00
5.626113277478364e-02	3.396476e+00
5.650527339978364e-02	3.239687e+00
5.674941402478364e-02	3.057740e+00
5.699355464978364e-02	2.851861e+00
5.723769527478364e-02	2.623473e+00
5.748183589978364e-02	2.374207e+00
5.772597652478364e-02	2.105932e+00
5.797011714978364e-02	1.820818e+00
5.821425777478364e-02	1.521455e+00
5.845839839978364e-02	1.211140e+00
5.870253902478364e-02	8.947829e-01
5.894667964978364e-02	5.814012e-01
5.919082027478364e-02	2.958383e-01
5.943496089978364e-02	8.439860e-02
5.960389683296261e-02	1.483697e-02
5.975101577852585e-02	1.342431e-03
5.987617931232140e-02	1.166314e-04
5.999805496137126e-02	7.105072e-05
6.024180625947097e-02	5.082354e-03
6.048594688447097e-02	4.942259e-02
6.068196853754951e-02	1.658068e-01
6.088051805876100e-02	3.696463e-01
6.112465868376100e-02	6.716086e-01
6.136879930876100e-02	9.873568e-01
6.161293993376100e-02	1.302506e+00
6.185708055876100e-02	1.610017e+00
6.210122118376100e-02	1.905645e+00
6.234536180876100e-02	2.186139e+00
6.258950243376100e-02	2.449083e+00
6.283364305876100e-02	2.692437e+00
6.307778368376100e-02	2.914410e+00
6.332192430876100e-02	3.113436e+00
6.356606493376100e-02	3.288151e+00
6.381020555876100e-02	3.437385e+00
6.405434618376100e-02	3.560150e+00
6.429848680876100e-02	3.655645e+00
6.454262743376100e-02	3.723249e+00
6.478676805876100e-02	3.762528e+00
6.503090868376100e-02	3.773226e+00
6.527504930876100e-02	3.755278e+00
6.551918993376100e-02	3.708796e+00
