V1	V(n002)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-02	9.994579e-03	2.710809e-08
2.000000000000000e-02	1.998804e-02	5.980120e-08
3.000000000000000e-02	2.998015e-02	9.922817e-08
4.000000000000000e-02	3.997064e-02	1.467733e-07
5.000000000000000e-02	4.995918e-02	2.041044e-07
6.000000000000000e-02	5.994535e-02	2.732300e-07
7.000000000000001e-02	6.992868e-02	3.565683e-07
8.000000000000000e-02	7.990859e-02	4.570298e-07
9.000000000000000e-02	8.988438e-02	5.781155e-07
1.000000000000000e-01	9.985519e-02	7.240347e-07
1.100000000000000e-01	1.098200e-01	8.998443e-07
1.200000000000000e-01	1.197777e-01	1.111615e-06
1.300000000000000e-01	1.297267e-01	1.366626e-06
1.400000000000000e-01	1.396653e-01	1.673599e-06
1.500000000000000e-01	1.495914e-01	2.042961e-06
1.600000000000000e-01	1.595026e-01	2.487167e-06
1.700000000000000e-01	1.693958e-01	3.021054e-06
1.800000000000000e-01	1.792676e-01	3.662256e-06
1.900000000000000e-01	1.891137e-01	4.431673e-06
2.000000000000000e-01	1.989292e-01	5.353982e-06
2.100000000000000e-01	2.087084e-01	6.458198e-06
2.200000000000000e-01	2.184443e-01	7.778266e-06
2.300000000000000e-01	2.281293e-01	9.353659e-06
2.400000000000000e-01	2.377540e-01	1.122996e-05
2.500000000000000e-01	2.473081e-01	1.345935e-05
2.600000000000000e-01	2.567798e-01	1.610100e-05
2.700000000000000e-01	2.661557e-01	1.922125e-05
2.800000000000000e-01	2.754213e-01	2.289341e-05
2.900000000000000e-01	2.845605e-01	2.719734e-05
3.000000000000000e-01	2.935563e-01	3.221838e-05
3.100000000000000e-01	3.023908e-01	3.804593e-05
3.200000000000000e-01	3.110457e-01	4.477132e-05
3.300000000000000e-01	3.195029e-01	5.248541e-05
3.400000000000000e-01	3.277449e-01	6.127565e-05
3.500000000000000e-01	3.357554e-01	7.122310e-05
3.600000000000000e-01	3.435201e-01	8.239951e-05
3.700000000000000e-01	3.510270e-01	9.486482e-05
3.800000000000000e-01	3.582670e-01	1.086651e-04
3.900000000000000e-01	3.652337e-01	1.238316e-04
4.000000000000000e-01	3.719240e-01	1.403799e-04
4.100000000000000e-01	3.783378e-01	1.583111e-04
4.200000000000000e-01	3.844776e-01	1.776123e-04
4.300000000000000e-01	3.903483e-01	1.982583e-04
4.400000000000000e-01	3.959571e-01	2.202143e-04
4.500000000000000e-01	4.013126e-01	2.434368e-04
4.600000000000000e-01	4.064247e-01	2.678767e-04
4.700000000000000e-01	4.113039e-01	2.934805e-04
4.800000000000000e-01	4.159615e-01	3.201924e-04
4.900000000000000e-01	4.204089e-01	3.479553e-04
