V1	V(n002)	I(D1)
Step Information: Temp=0  (Step: 1/6)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-02	9.999990e-03	5.227091e-11
2.000000000000000e-02	1.999998e-02	1.188831e-10
3.000000000000000e-02	2.999996e-02	2.037719e-10
4.000000000000000e-02	3.999994e-02	3.119528e-10
5.000000000000000e-02	4.999991e-02	4.498174e-10
6.000000000000000e-02	5.999988e-02	6.255114e-10
7.000000000000001e-02	6.999983e-02	8.494155e-10
8.000000000000000e-02	7.999977e-02	1.134759e-09
9.000000000000000e-02	8.999970e-02	1.498402e-09
1.000000000000000e-01	9.999961e-02	1.961830e-09
1.100000000000000e-01	1.099995e-01	2.552425e-09
1.200000000000000e-01	1.199993e-01	3.305081e-09
1.300000000000000e-01	1.299991e-01	4.264268e-09
1.400000000000000e-01	1.399989e-01	5.486656e-09
1.500000000000000e-01	1.499986e-01	7.044465e-09
1.600000000000000e-01	1.599982e-01	9.029725e-09
1.700000000000000e-01	1.699977e-01	1.155971e-08
1.800000000000000e-01	1.799970e-01	1.478388e-08
1.900000000000000e-01	1.899962e-01	1.889267e-08
2.000000000000000e-01	1.999952e-01	2.412873e-08
2.100000000000000e-01	2.099938e-01	3.080127e-08
2.200000000000000e-01	2.199921e-01	3.930423e-08
2.300000000000000e-01	2.299900e-01	5.013953e-08
2.400000000000000e-01	2.399872e-01	6.394656e-08
2.500000000000000e-01	2.499837e-01	8.153977e-08
2.600000000000000e-01	2.599792e-01	1.039565e-07
2.700000000000000e-01	2.699735e-01	1.325177e-07
2.800000000000000e-01	2.799662e-01	1.689050e-07
2.900000000000000e-01	2.899570e-01	2.152590e-07
3.000000000000000e-01	2.999451e-01	2.743030e-07
3.100000000000000e-01	3.099301e-01	3.495006e-07
3.200000000000000e-01	3.199109e-01	4.452541e-07
3.300000000000000e-01	3.298866e-01	5.671550e-07
3.400000000000000e-01	3.398556e-01	7.222987e-07
3.500000000000000e-01	3.498161e-01	9.196783e-07
3.600000000000000e-01	3.597659e-01	1.170675e-06
3.700000000000000e-01	3.697021e-01	1.489667e-06
3.800000000000000e-01	3.796211e-01	1.894772e-06
3.900000000000000e-01	3.895183e-01	2.408751e-06
4.000000000000000e-01	3.993880e-01	3.060095e-06
4.100000000000000e-01	4.092231e-01	3.884286e-06
4.200000000000000e-01	4.190150e-01	4.925251e-06
4.300000000000000e-01	4.287526e-01	6.236955e-06
4.400000000000000e-01	4.384230e-01	7.885068e-06
4.500000000000000e-01	4.480103e-01	9.948561e-06
4.600000000000000e-01	4.574958e-01	1.252101e-05
4.700000000000000e-01	4.668577e-01	1.571133e-05
4.800000000000000e-01	4.760713e-01	1.964351e-05
4.900000000000000e-01	4.851090e-01	2.445498e-05
5.000000000000000e-01	4.939413e-01	3.029328e-05
5.100000000000000e-01	5.025378e-01	3.731076e-05
5.200000000000000e-01	5.108685e-01	4.565766e-05
5.300000000000000e-01	5.189052e-01	5.547397e-05
5.400000000000000e-01	5.266237e-01	6.688126e-05
5.500000000000000e-01	5.340049e-01	7.997546e-05
5.600000000000001e-01	5.410357e-01	9.482187e-05
5.700000000000001e-01	5.477094e-01	1.114529e-04
5.800000000000000e-01	5.540262e-01	1.298688e-04
5.900000000000000e-01	5.599918e-01	1.500408e-04
6.000000000000000e-01	5.656168e-01	1.719161e-04
6.100000000000000e-01	5.709153e-01	1.954234e-04
6.200000000000000e-01	5.759042e-01	2.204789e-04
6.300000000000000e-01	5.806018e-01	2.469909e-04
6.400000000000000e-01	5.850271e-01	2.748646e-04
6.500000000000000e-01	5.891990e-01	3.040051e-04
6.600000000000000e-01	5.931360e-01	3.343199e-04
6.700000000000000e-01	5.968559e-01	3.657207e-04
6.800000000000000e-01	6.003751e-01	3.981243e-04
6.900000000000001e-01	6.037094e-01	4.314531e-04
7.000000000000001e-01	6.068730e-01	4.656352e-04
7.100000000000000e-01	6.098791e-01	5.006047e-04
7.200000000000000e-01	6.127398e-01	5.363011e-04
7.300000000000000e-01	6.154662e-01	5.726690e-04
7.400000000000000e-01	6.180683e-01	6.096583e-04
7.500000000000000e-01	6.205555e-01	6.472229e-04
7.600000000000000e-01	6.229358e-01	6.853211e-04
7.700000000000000e-01	6.252170e-01	7.239149e-04
7.800000000000000e-01	6.274061e-01	7.629696e-04
7.900000000000000e-01	6.295093e-01	8.024538e-04
8.000000000000000e-01	6.315323e-01	8.423385e-04
8.100000000000001e-01	6.334805e-01	8.825975e-04
8.200000000000001e-01	6.353586e-01	9.232067e-04
8.300000000000001e-01	6.371711e-01	9.641442e-04
8.400000000000000e-01	6.389221e-01	1.005390e-03
8.500000000000000e-01	6.406151e-01	1.046925e-03
8.600000000000000e-01	6.422536e-01	1.088732e-03
8.700000000000000e-01	6.438408e-01	1.130796e-03
8.800000000000000e-01	6.453795e-01	1.173102e-03
8.900000000000000e-01	6.468725e-01	1.215638e-03
9.000000000000000e-01	6.483222e-01	1.258389e-03
9.100000000000000e-01	6.497308e-01	1.301346e-03
9.200000000000000e-01	6.511006e-01	1.344497e-03
9.300000000000000e-01	6.524335e-01	1.387833e-03
9.400000000000001e-01	6.537312e-01	1.431344e-03
9.500000000000001e-01	6.549956e-01	1.475022e-03
9.600000000000000e-01	6.562282e-01	1.518859e-03
9.700000000000000e-01	6.574306e-01	1.562847e-03
9.800000000000000e-01	6.586041e-01	1.606980e-03
9.900000000000000e-01	6.597499e-01	1.651250e-03
1.000000000000000e+00	6.608694e-01	1.695653e-03
1.010000000000000e+00	6.619637e-01	1.740181e-03
1.020000000000000e+00	6.630338e-01	1.784831e-03
1.030000000000000e+00	6.640808e-01	1.829596e-03
1.040000000000000e+00	6.651056e-01	1.874472e-03
1.050000000000000e+00	6.661091e-01	1.919455e-03
1.060000000000000e+00	6.670921e-01	1.964539e-03
1.070000000000000e+00	6.680555e-01	2.009722e-03
1.080000000000000e+00	6.690000e-01	2.055000e-03
1.090000000000000e+00	6.699263e-01	2.100368e-03
1.100000000000000e+00	6.708351e-01	2.145824e-03
1.110000000000000e+00	6.717271e-01	2.191365e-03
1.120000000000000e+00	6.726027e-01	2.236987e-03
1.130000000000000e+00	6.734626e-01	2.282687e-03
1.140000000000000e+00	6.743075e-01	2.328463e-03
1.150000000000000e+00	6.751376e-01	2.374312e-03
1.160000000000000e+00	6.759537e-01	2.420232e-03
1.170000000000000e+00	6.767560e-01	2.466220e-03
1.180000000000000e+00	6.775452e-01	2.512274e-03
1.190000000000000e+00	6.783215e-01	2.558392e-03
1.200000000000000e+00	6.790856e-01	2.604572e-03
1.210000000000000e+00	6.798375e-01	2.650813e-03
1.220000000000000e+00	6.805779e-01	2.697111e-03
1.230000000000000e+00	6.813070e-01	2.743465e-03
1.240000000000000e+00	6.820251e-01	2.789875e-03
1.250000000000000e+00	6.827326e-01	2.836337e-03
1.260000000000000e+00	6.834298e-01	2.882851e-03
1.270000000000000e+00	6.841170e-01	2.929415e-03
1.280000000000000e+00	6.847945e-01	2.976027e-03
1.290000000000000e+00	6.854626e-01	3.022687e-03
1.300000000000000e+00	6.861215e-01	3.069393e-03
1.310000000000000e+00	6.867714e-01	3.116143e-03
1.320000000000000e+00	6.874126e-01	3.162937e-03
1.330000000000000e+00	6.880454e-01	3.209773e-03
1.340000000000000e+00	6.886700e-01	3.256650e-03
1.350000000000000e+00	6.892865e-01	3.303567e-03
1.360000000000000e+00	6.898952e-01	3.350524e-03
1.370000000000000e+00	6.904963e-01	3.397519e-03
1.380000000000000e+00	6.910900e-01	3.444550e-03
1.390000000000000e+00	6.916764e-01	3.491618e-03
1.400000000000000e+00	6.922558e-01	3.538721e-03
1.410000000000000e+00	6.928282e-01	3.585859e-03
1.420000000000000e+00	6.933940e-01	3.633030e-03
1.430000000000000e+00	6.939532e-01	3.680234e-03
1.440000000000000e+00	6.945059e-01	3.727470e-03
1.450000000000000e+00	6.950524e-01	3.774738e-03
1.460000000000000e+00	6.955928e-01	3.822036e-03
1.470000000000000e+00	6.961272e-01	3.869364e-03
1.480000000000000e+00	6.966558e-01	3.916721e-03
1.490000000000000e+00	6.971787e-01	3.964107e-03
1.500000000000000e+00	6.976959e-01	4.011521e-03
1.510000000000000e+00	6.982077e-01	4.058962e-03
1.520000000000000e+00	6.987141e-01	4.106429e-03
1.530000000000000e+00	6.992153e-01	4.153924e-03
1.540000000000000e+00	6.997114e-01	4.201443e-03
1.550000000000000e+00	7.002025e-01	4.248988e-03
1.560000000000000e+00	7.006886e-01	4.296557e-03
1.570000000000000e+00	7.011699e-01	4.344150e-03
1.580000000000000e+00	7.016466e-01	4.391767e-03
1.590000000000000e+00	7.021185e-01	4.439407e-03
1.600000000000000e+00	7.025860e-01	4.487070e-03
1.610000000000000e+00	7.030490e-01	4.534755e-03
1.620000000000000e+00	7.035077e-01	4.582461e-03
1.630000000000000e+00	7.039621e-01	4.630189e-03
1.640000000000000e+00	7.044123e-01	4.677938e-03
1.650000000000000e+00	7.048584e-01	4.725708e-03
1.660000000000000e+00	7.053005e-01	4.773497e-03
1.670000000000000e+00	7.057387e-01	4.821307e-03
1.680000000000000e+00	7.061729e-01	4.869136e-03
1.690000000000000e+00	7.066033e-01	4.916983e-03
1.700000000000000e+00	7.070301e-01	4.964849e-03
1.710000000000000e+00	7.074531e-01	5.012734e-03
1.720000000000000e+00	7.078725e-01	5.060637e-03
1.730000000000000e+00	7.082884e-01	5.108558e-03
1.740000000000000e+00	7.087008e-01	5.156496e-03
1.750000000000000e+00	7.091098e-01	5.204451e-03
1.760000000000000e+00	7.095155e-01	5.252423e-03
1.770000000000000e+00	7.099178e-01	5.300411e-03
1.780000000000000e+00	7.103168e-01	5.348416e-03
1.790000000000000e+00	7.107127e-01	5.396436e-03
1.800000000000000e+00	7.111055e-01	5.444473e-03
1.810000000000000e+00	7.114952e-01	5.492524e-03
1.820000000000000e+00	7.118818e-01	5.540591e-03
1.830000000000000e+00	7.122654e-01	5.588673e-03
1.840000000000000e+00	7.126461e-01	5.636769e-03
1.850000000000000e+00	7.130240e-01	5.684881e-03
1.860000000000000e+00	7.133989e-01	5.733005e-03
1.870000000000000e+00	7.137711e-01	5.781144e-03
1.880000000000000e+00	7.141405e-01	5.829297e-03
1.890000000000000e+00	7.145072e-01	5.877464e-03
1.900000000000000e+00	7.148712e-01	5.925644e-03
1.910000000000000e+00	7.152327e-01	5.973837e-03
1.920000000000000e+00	7.155915e-01	6.022043e-03
1.930000000000000e+00	7.159477e-01	6.070261e-03
1.940000000000000e+00	7.163015e-01	6.118492e-03
1.950000000000000e+00	7.166528e-01	6.166736e-03
1.960000000000000e+00	7.170017e-01	6.214992e-03
1.970000000000000e+00	7.173482e-01	6.263259e-03
1.980000000000000e+00	7.176922e-01	6.311539e-03
1.990000000000000e+00	7.180340e-01	6.359830e-03
2.000000000000000e+00	7.183734e-01	6.408133e-03
2.010000000000000e+00	7.187107e-01	6.456447e-03
2.020000000000000e+00	7.190456e-01	6.504772e-03
2.030000000000000e+00	7.193784e-01	6.553108e-03
2.040000000000000e+00	7.197090e-01	6.601455e-03
2.050000000000000e+00	7.200374e-01	6.649813e-03
2.060000000000000e+00	7.203637e-01	6.698181e-03
2.070000000000000e+00	7.206880e-01	6.746560e-03
2.080000000000000e+00	7.210103e-01	6.794949e-03
2.090000000000000e+00	7.213304e-01	6.843348e-03
2.100000000000000e+00	7.216486e-01	6.891757e-03
2.110000000000000e+00	7.219648e-01	6.940176e-03
2.120000000000000e+00	7.222791e-01	6.988605e-03
2.130000000000000e+00	7.225915e-01	7.037043e-03
2.140000000000000e+00	7.229019e-01	7.085491e-03
2.150000000000000e+00	7.232105e-01	7.133947e-03
2.160000000000000e+00	7.235173e-01	7.182414e-03
2.170000000000000e+00	7.238222e-01	7.230889e-03
2.180000000000000e+00	7.241253e-01	7.279373e-03
2.190000000000000e+00	7.244267e-01	7.327867e-03
2.200000000000000e+00	7.247263e-01	7.376369e-03
2.210000000000000e+00	7.250242e-01	7.424879e-03
2.220000000000000e+00	7.253203e-01	7.473398e-03
2.230000000000000e+00	7.256148e-01	7.521926e-03
2.240000000000000e+00	7.259076e-01	7.570462e-03
2.250000000000000e+00	7.261988e-01	7.619006e-03
2.260000000000000e+00	7.264884e-01	7.667558e-03
2.270000000000000e+00	7.267762e-01	7.716119e-03
2.280000000000000e+00	7.270626e-01	7.764687e-03
2.290000000000000e+00	7.273474e-01	7.813263e-03
2.300000000000000e+00	7.276306e-01	7.861847e-03
2.310000000000000e+00	7.279123e-01	7.910439e-03
2.320000000000000e+00	7.281925e-01	7.959037e-03
2.330000000000000e+00	7.284712e-01	8.007644e-03
2.340000000000000e+00	7.287484e-01	8.056258e-03
2.350000000000000e+00	7.290242e-01	8.104879e-03
2.360000000000000e+00	7.292985e-01	8.153507e-03
2.370000000000000e+00	7.295714e-01	8.202143e-03
2.380000000000000e+00	7.298428e-01	8.250786e-03
