#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA294A
#Date Time: 2025-11-14 01:51:30.159
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 50 Hz
#Period: 20 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0

Time (s)	Channel 1 (V)	Channel 2 (V)
-0.025596875	-7.996853255919306	-0.02751601803920574
-0.025590625	-8.007957352898929	-0.02751601803920574
-0.025584375	-8.02276281553841	-0.02751601803920574
-0.025578125	-8.037568278177899	-0.02751601803920574
-0.025571875	-8.048672375157514	-0.02751601803920574
-0.025565625	-8.052373740817385	-0.02380224176316086
-0.025559375	-8.067179203456879	-0.02380224176316086
-0.025553125	-8.078283300436489	-0.02380224176316086
-0.025546875	-8.093088763075977	-0.02380224176316086
-0.025540625	-8.104192860055594	-0.02380224176316086
-0.025534375	-8.107894225715466	-0.02751601803920574
-0.025528125	-8.126401054014828	-0.02380224176315917
-0.025521875	-8.133803785334569	-0.02008846548711598
-0.025515625	-8.148609247974056	-0.02380224176316086
-0.025509375	-8.156011979293801	-0.02380224176316086
-0.025503125	-8.174518807593161	-0.02751601803920574
-0.025496875	-8.174518807593168	-0.02380224176316086
-0.025490625	-8.189324270232648	-0.02380224176316086
-0.025484375	-8.200428367212265	-0.02380224176316086
-0.025478125	-8.215233829851751	-0.02380224176316086
-0.025471875	-8.226337926831368	-0.02008846548711598
-0.025465625	-8.233740658151117	-0.02380224176316086
-0.025459375	-8.244844755130728	-0.02380224176316086
-0.025453125	-8.259650217770215	-0.02751601803920574
-0.025446875	-8.270754314749832	-0.02751601803920574
-0.025440625	-8.281858411729447	-0.02751601803920574
-0.025434375	-8.292962508709067	-0.02380224176316086
-0.025428125	-8.300365240028807	-0.02380224176316086
-0.025421875	-8.311469337008422	-0.02380224176316086
-0.025415625	-8.329976165307782	-0.02751601803920574
-0.025409375	-8.341080262287399	-0.02380224176316086
-0.025403125	-8.352184359267017	-0.02380224176316086
-0.025396875	-8.359587090586759	-0.02380224176316086
-0.025390625	-8.366989821906502	-0.02751601803920574
-0.025384375	-8.385496650205862	-0.02380224176316086
-0.025378125	-8.392899381525606	-0.02380224176316086
-0.025371875	-8.404003478505215	-0.02380224176316086
-0.025365625	-8.422510306804581	-0.02380224176316086
-0.025359375	-8.426211672464452	-0.02380224176316086
-0.025353125	-8.437315769444069	-0.02751601803920574
-0.025346875	-8.452121232083558	-0.02380224176316086
-0.025340625	-8.463225329063167	-0.02380224176316086
-0.025334375	-8.474329426042788	-0.02380224176316086
-0.025328125	-8.485433523022405	-0.02751601803920574
-0.025321875	-8.492836254342148	-0.02380224176316086
-0.025315625	-8.503940351321765	-0.02380224176316086
-0.025309375	-8.518745813961244	-0.02380224176316086
-0.025303125	-8.53355127660074	-0.02751601803920574
-0.025296875	-8.548356739240228	-0.02751601803920574
-0.025290625	-8.555759470559972	-0.02380224176316086
-0.025284375	-8.563162201879715	-0.02380224176316086
-0.025278125	-8.574266298859326	-0.02380224176316086
-0.025271875	-8.585370395838947	-0.02751601803920574
-0.025265625	-8.596474492818563	-0.02380224176316086
-0.025259375	-8.61127995545805	-0.02008846548711598
-0.025253125	-8.614981321117924	-0.02380224176316086
-0.025246875	-8.629786783757403	-0.02751601803920405
-0.025240625	-8.644592246396899	-0.02380224176316086
-0.025234375	-8.655696343376514	-0.02751601803920574
-0.025228125	-8.670501806016002	-0.02380224176316086
-0.025221875	-8.674203171675874	-0.02380224176316086
-0.025215625	-8.689008634315355	-0.02380224176316086
-0.025209375	-8.696411365635106	-0.02380224176316086
-0.025203125	-8.711216828274594	-0.02380224176316086
-0.025196875	-8.722320925254209	-0.02380224176316086
-0.025190625	-8.733425022233826	-0.02380224176316086
-0.025184375	-8.740827753553566	-0.02008846548711767
-0.025178125	-8.755633216193058	-0.02751601803920574
-0.025171875	-8.766737313172673	-0.02380224176316086
-0.025165625	-8.777841410152289	-0.02751601803920574
-0.025159375	-8.788945507131904	-0.02380224176316086
-0.025153125	-8.803750969771386	-0.02751601803920405
-0.025146875	-8.811153701091136	-0.02380224176316086
-0.025140625	-8.822257798070751	-0.02008846548711598
-0.025134375	-8.83706326071024	-0.02380224176316086
-0.025128125	-8.848167357689857	-0.02380224176316086
-0.025121875	-8.855570089009596	-0.02751601803920405
-0.025115625	-8.866674185989215	-0.02380224176316086
-0.025109375	-8.87407691730896	-0.02008846548711598
-0.025103125	-8.89258374560832	-0.02380224176316086
-0.025096875	-8.899986476928063	-0.02751601803920574
-0.025090625	-8.914791939567543	-0.02751601803920574
