#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA294A
#Date Time: 2025-11-21 18:45:33.050
#Sample rate: 46274.9Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 50 Hz
#Period: 20 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s)	Channel 1 (V)	Channel 2 (V)
-0.08593487332185304	-7.397232019020049	-7.399361925988296
-0.08591326332185303	-7.434245675618786	-7.436499688748762
-0.08589165332185304	-7.471259332217488	-7.473637451509194
-0.08587004332185304	-7.508272988816208	-7.514488990545687
-0.08584843332185305	-7.545286645414911	-7.551626753306119
-0.08582682332185304	-7.589703033333391	-7.59247829234263
-0.08580521332185304	-7.630418055591982	-7.629616055103079
-0.08578360332185304	-7.66373034653083	-7.666753817863527
-0.08576199332185304	-7.708146734449294	-7.711319133176066
-0.08574038332185303	-7.741459025388162	-7.748456895936534
-0.08571877332185304	-7.785875413306605	-7.789308434973009
-0.08569716332185304	-7.822889069905324	-7.826446197733457
-0.08567555332185305	-7.859902726504027	-7.863583960493889
-0.08565394332185304	-7.904319114422507	-7.9044354995304
-0.08563233332185304	-7.941332771021226	-7.941573262290849
-0.08561072332185304	-7.978346427619946	-7.982424801327342
-0.08558911332185304	-8.02276281553841	-8.023276340363836
-0.08556750332185303	-8.056075106477275	-8.060414103124302
-0.08554589332185304	-8.096790128735849	-8.101265642160778
-0.08552428332185304	-8.137505150994441	-8.142117181197271
-0.08550267332185305	-8.174518807593145	-8.17554116768166
-0.08548106332185304	-8.215233829851751	-8.216392706718169
-0.08545945332185304	-8.255948852110359	-8.253530469478635
-0.08543784332185304	-8.292962508709063	-8.294382008515111
-0.08541623332185304	-8.337378896627527	-8.335233547551605
-0.08539462332185305	-8.37439255322623	-8.372371310312037
-0.08537301332185304	-8.411406209824966	-8.413222849348548
-0.08535140332185304	-8.452121232083558	-8.454074388385042
-0.08532979332185305	-8.48913488868226	-8.491212151145472
-0.08530818332185304	-8.529849910940868	-8.532063690181984
-0.08528657332185303	-8.566863567539603	-8.569201452942451
-0.08526496332185304	-8.603877224138307	-8.610052991978927
-0.08524335332185304	-8.644592246396899	-8.650904531015421
-0.08522174332185305	-8.685307268655473	-8.688042293775851
-0.08520013332185304	-8.726022290914081	-8.725180056536319
-0.08517852332185304	-8.766737313172673	-8.766031595572812
-0.08515691332185304	-8.803750969771393	-8.80316935833326
-0.08513530332185304	-8.840764626370111	-8.844020897369754
-0.08511369332185303	-8.881479648628719	-8.88115866013022
-0.08509208332185304	-8.918493305227424	-8.918296422890652
-0.08507047332185304	-8.962909693145887	-8.962861738203189
-0.08504886332185305	-8.996221984084718	-8.999999500963622
-0.08502725332185304	-9.036937006343326	-9.040851040000133
-0.08500564332185304	-9.055443834642686	-9.055706145104311
-0.08498403332185304	-9.022131543703837	-9.022282158619909
-0.08496242332185304	-8.981416521445245	-8.981430619583415
-0.08494081332185303	-8.940701499186639	-8.940579080546904
-0.08491920332185304	-8.903687842587935	-8.903441317786472
-0.08489759332185304	-8.859271454669472	-8.862589778749978
-0.08487598332185305	-8.822257798070767	-8.825452015989548
-0.08485437332185304	-8.781542775812161	-8.784600476953036
-0.08483276332185304	-8.744529119213441	-8.743748937916543
-0.08481115332185304	-8.707515462614722	-8.706611175156093
-0.08478954332185304	-8.663099074696259	-8.665759636119599
-0.08476793332185303	-8.626085418097523	-8.628621873359133
-0.08474632332185304	-8.589071761498818	-8.591484110598703
-0.08472471332185304	-8.544655373580357	-8.546918795286164
-0.08470310332185305	-8.511343082641524	-8.513494808801775
-0.08468149332185304	-8.466926694723044	-8.46892949348922
-0.08465988332185304	-8.429913038124326	-8.431791730728772
-0.08463827332185304	-8.389198015865734	-8.394653967968324
-0.08461666332185304	-8.352184359267014	-8.350088652655785
-0.08459505332185303	-8.315170702668278	-8.312950889895319
-0.08457344332185304	-8.274455680409703	-8.275813127134887
-0.08455183332185304	-8.233740658151111	-8.234961588098393
-0.08453022332185305	-8.200428367212281	-8.201537601614005
-0.08450861332185304	-8.156011979293801	-8.160686062577495
-0.08448700332185304	-8.118998322695063	-8.119834523540984
-0.08446539332185304	-8.078283300436489	-8.082696760780554
-0.08444378332185304	-8.037568278177899	-8.038131445468014
-0.08442217332185303	-8.000554621579163	-8.000993682707549
-0.08440056332185304	-7.963540964980458	-7.963855919947118
-0.08437895332185304	-7.922825942721866	-7.923004380910625
-0.08435734332185305	-7.885812286123164	-7.885866618150192
-0.08433573332185304	-7.845097263864556	-7.845015079113682
-0.08431412332185304	-7.804382241605947	-7.807877316353216
-0.08429251332185304	-7.767368585007245	-7.770739553592784
-0.08427090332185304	-7.726653562748653	-7.726174238280246
-0.08424929332185305	-7.68593854049008	-7.692750251795856
-0.08422768332185304	-7.648924883891342	-7.651898712759348
-0.08420607332185304	-7.611911227292623	-7.607333397446809
-0.08418446332185305	-7.57489757069392	-7.57390941096242
-0.08416285332185304	-7.53048118277544	-7.533057871925911
-0.08414124332185303	-7.489766160516831	-7.492206332889401
-0.08411963332185304	-7.452752503918129	-7.45506857012897
-0.08409802332185304	-7.415738847319409	-7.414217031092475
-0.08407641332185305	-7.375023825060836	-7.377079268332044
-0.08405480332185304	-7.338010168462098	-7.339941505571578
-0.08403319332185304	-7.297295146203506	-7.29537619025904
-0.08401158332185305	-7.256580123944915	-7.261952203774635
-0.08398997332185304	-7.219566467346196	-7.221100664738142
-0.08396836332185303	-7.178851445087587	-7.180249125701631
-0.08394675332185304	-7.141837788488885	-7.143111362941199
-0.08392514332185304	-7.101122766230293	-7.102259823904705
-0.08390353332185305	-7.06410910963159	-7.065122061144273
-0.08388192332185304	-7.023394087372982	-7.024270522107763
-0.08386031332185304	-6.98267906511439	-6.987132759347314
-0.08383870332185304	-6.945665408515671	-6.949994996586866
-0.08381709332185304	-6.90495038625708	-6.905429681274327
-0.08379548332185303	-6.867936729658341	-6.864578142237818
-0.08377387332185304	-6.827221707399769	-6.831154155753429
-0.08375226332185304	-6.782805319481305	-6.78658884044089
-0.08373065332185305	-6.749493028542473	-6.749451077680458
-0.08370904332185304	-6.712479371943738	-6.712313314919993
-0.08368743332185304	-6.671764349685146	-6.675175552159544
-0.08366582332185304	-6.634750693086427	-6.634324013123051
-0.08364421332185304	-6.590334305167963	-6.593472474086557
-0.08362260332185303	-6.553320648569227	-6.556334711326089
-0.08360099332185304	-6.516306991970525	-6.515483172289614
-0.08357938332185304	-6.475591969711934	-6.474631633253121
-0.08355777332185305	-6.43857831311323	-6.437493870492689
-0.08353616332185304	-6.397863290854622	-6.400356107732223
-0.08351455332185304	-6.35714826859603	-6.359504568695729
-0.08349294332185304	-6.320134611997311	-6.32236680593528
-0.08347133332185304	-6.27941958973872	-6.277801490622742
-0.08344972332185303	-6.238704567480111	-6.240663727862278
-0.08342811332185304	-6.201690910881409	-6.207239741377889
-0.08340650332185304	-6.160975888622817	-6.16267442606535
-0.08338489332185305	-6.123962232024114	-6.125536663304919
-0.08336328332185304	-6.083247209765506	-6.084685124268407
-0.08334167332185304	-6.042532187506898	-6.043833585231897
-0.08332006332185304	-6.005518530908195	-6.006695822471466
-0.08329845332185304	-5.964803508649603	-5.965844283434972
-0.08327684332185303	-5.927789852050865	-5.928706520674506
-0.08325523332185304	-5.887074829792293	-5.891568757914074
-0.08323362332185304	-5.846359807533701	-5.85071721887758
-0.08321201332185305	-5.813047516594868	-5.813579456117148
-0.08319040332185304	-5.76863112867639	-5.772727917080638
-0.08316879332185304	-5.731617472077653	-5.731876378044127
-0.08314718332185304	-5.694603815478951	-5.694738615283695
-0.08312557332185304	-5.65388879322036	-5.653887076247202
-0.08310396332185305	-5.613173770961787	-5.616749313486769
-0.08308235332185304	-5.576160114363049	-5.579611550726304
-0.08306074332185304	-5.539146457764329	-5.53876001168981
-0.08303913332185305	-5.498431435505756	-5.501622248929379
-0.08301752332185304	-5.461417778907018	-5.460770709892868
-0.08299591332185303	-5.417001390988538	-5.419919170856357
-0.08297430332185304	-5.379987734389835	-5.382781408095926
-0.08295269332185304	-5.339272712131243	-5.341929869059432
-0.08293108332185305	-5.302259055532541	-5.308505882575043
-0.08290947332185304	-5.265245398933804	-5.267654343538534
-0.08288786332185304	-5.220829011015341	-5.22680280450204
-0.08286625332185305	-5.183815354416621	-5.189665041741591
-0.08284464332185304	-5.146801697817902	-5.148813502705098
-0.08282303332185303	-5.106086675559292	-5.107961963668587
-0.08280142332185304	-5.065371653300719	-5.070824200908155
-0.08277981332185304	-5.024656631042127	-5.029972661871661
-0.08275820332185305	-4.987642974443425	-4.989121122835186
-0.08273659332185304	-4.946927952184817	-4.948269583798674
-0.08271498332185304	-4.906212929926225	-4.90741804476218
-0.08269337332185304	-4.872900638987377	-4.877707834553822
-0.08267176332185304	-4.832185616728786	-4.833142519241282
-0.08265015332185303	-4.791470594470177	-4.796004756480816
-0.08262854332185304	-4.754456937871475	-4.755153217444341
-0.08260693332185304	-4.713741915612884	-4.718015454683892
-0.08258532332185305	-4.676728259014181	-4.68087769192346
-0.08256371332185304	-4.636013236755573	-4.636312376610904
-0.08254210332185304	-4.595298214496981	-4.59546083757441
-0.08252049332185304	-4.558284557898261	-4.562036851090006
-0.08249888332185304	-4.521270901299542	-4.521185312053513
-0.08247727332185303	-4.480555879040931	-4.484047549293045
-0.08245566332185304	-4.439840856782359	-4.44319601025657
-0.08243405332185304	-4.40282720018364	-4.406058247496121
-0.08241244332185305	-4.365813543584936	-4.368920484735689
-0.08239083332185304	-4.325098521326328	-4.328068945699179
-0.08236922332185304	-4.284383499067737	-4.287217406662685
-0.08234761332185304	-4.25107120812889	-4.250079643902237
-0.08232600332185304	-4.206654820210426	-4.209228104865742
-0.08230439332185303	-4.165939797951817	-4.168376565829232
-0.08228278332185304	-4.128926141353115	-4.131238803068801
-0.08226117332185304	-4.088211119094524	-4.090387264032307
-0.08223956332185305	-4.05119746249582	-4.053249501271875
-0.08221795332185304	-4.010482440237213	-4.016111738511409
-0.08219634332185304	-3.969767417978606	-3.975260199474898
-0.08217473332185304	-3.936455127039773	-3.938122436714466
-0.08215312332185304	-3.89203873912131	-3.897270897677973
-0.08213151332185303	-3.855025082522574	-3.860133134917507
-0.08210990332185304	-3.818011425923871	-3.822995372157075
-0.08208829332185304	-3.773595038005408	-3.778430056844536
-0.08206668332185305	-3.740282747066575	-3.741292294084104
-0.08204507332185304	-3.695866359148096	-3.700440755047594
-0.08202346332185304	-3.65515133688949	-3.659589216011083
-0.08200185332185304	-3.621839045950658	-3.622451453250651
-0.08198024332185304	-3.581124023692066	-3.581599914214157
-0.08195863332185305	-3.540409001433493	-3.544462151453725
-0.08193702332185304	-3.503395344834755	-3.507324388693259
-0.08191541332185304	-3.462680322576163	-3.466472849656766
-0.08189380332185305	-3.425666665977444	-3.429335086896318
-0.08187219332185304	-3.38125027805898	-3.388483547859823
-0.08185058332185303	-3.344236621460244	-3.347632008823313
-0.08182897332185304	-3.307222964861541	-3.310494246062881
-0.08180736332185304	-3.262806576943078	-3.269642707026388
-0.08178575332185305	-3.225792920344375	-3.228791167989912
-0.08176414332185304	-3.188779263745639	-3.191653405229445
-0.08174253332185304	-3.15176560714692	-3.150801866192952
