V1	V(N002,N003)	I(D1)
-5.000000000000000e+00	-5.000000e+00	-2.525000e-09
-4.990000000000000e+00	-4.989999e+00	-2.524990e-09
-4.980000000000000e+00	-4.980000e+00	-2.524980e-09
-4.970000000000000e+00	-4.969999e+00	-2.524970e-09
-4.960000000000000e+00	-4.960000e+00	-2.524960e-09
-4.950000000000000e+00	-4.949999e+00	-2.524950e-09
-4.940000000000000e+00	-4.940000e+00	-2.524940e-09
-4.930000000000000e+00	-4.929999e+00	-2.524930e-09
-4.920000000000000e+00	-4.920000e+00	-2.524920e-09
-4.910000000000000e+00	-4.909999e+00	-2.524910e-09
-4.900000000000000e+00	-4.900000e+00	-2.524900e-09
-4.890000000000000e+00	-4.889999e+00	-2.524890e-09
-4.880000000000000e+00	-4.880000e+00	-2.524880e-09
-4.870000000000000e+00	-4.869999e+00	-2.524870e-09
-4.860000000000000e+00	-4.860000e+00	-2.524860e-09
-4.850000000000000e+00	-4.849999e+00	-2.524850e-09
-4.840000000000000e+00	-4.840000e+00	-2.524840e-09
-4.830000000000000e+00	-4.829999e+00	-2.524830e-09
-4.820000000000000e+00	-4.820000e+00	-2.524820e-09
-4.810000000000000e+00	-4.809999e+00	-2.524810e-09
-4.800000000000000e+00	-4.800000e+00	-2.524800e-09
-4.790000000000000e+00	-4.789999e+00	-2.524790e-09
-4.780000000000000e+00	-4.780000e+00	-2.524780e-09
-4.770000000000000e+00	-4.770000e+00	-2.524770e-09
-4.760000000000000e+00	-4.759999e+00	-2.524760e-09
-4.750000000000000e+00	-4.750000e+00	-2.524750e-09
-4.740000000000000e+00	-4.739999e+00	-2.524740e-09
-4.730000000000000e+00	-4.730000e+00	-2.524730e-09
-4.720000000000000e+00	-4.719999e+00	-2.524720e-09
-4.710000000000000e+00	-4.710000e+00	-2.524710e-09
-4.700000000000000e+00	-4.699999e+00	-2.524700e-09
-4.690000000000000e+00	-4.690000e+00	-2.524690e-09
-4.680000000000000e+00	-4.679999e+00	-2.524680e-09
-4.670000000000000e+00	-4.670000e+00	-2.524670e-09
-4.660000000000000e+00	-4.659999e+00	-2.524660e-09
-4.650000000000000e+00	-4.650000e+00	-2.524650e-09
-4.640000000000000e+00	-4.639999e+00	-2.524640e-09
-4.630000000000000e+00	-4.630000e+00	-2.524630e-09
-4.620000000000000e+00	-4.619999e+00	-2.524620e-09
-4.610000000000000e+00	-4.610000e+00	-2.524610e-09
-4.600000000000000e+00	-4.599999e+00	-2.524600e-09
-4.590000000000000e+00	-4.590000e+00	-2.524590e-09
-4.580000000000000e+00	-4.579999e+00	-2.524580e-09
-4.570000000000000e+00	-4.570000e+00	-2.524570e-09
-4.560000000000000e+00	-4.559999e+00	-2.524560e-09
-4.550000000000000e+00	-4.550000e+00	-2.524550e-09
-4.540000000000000e+00	-4.539999e+00	-2.524540e-09
-4.530000000000000e+00	-4.530000e+00	-2.524530e-09
-4.520000000000000e+00	-4.520000e+00	-2.524520e-09
-4.510000000000000e+00	-4.509999e+00	-2.524510e-09
-4.500000000000000e+00	-4.500000e+00	-2.524500e-09
-4.490000000000000e+00	-4.489999e+00	-2.524490e-09
-4.480000000000000e+00	-4.480000e+00	-2.524480e-09
-4.470000000000000e+00	-4.469999e+00	-2.524470e-09
-4.460000000000000e+00	-4.460000e+00	-2.524460e-09
-4.450000000000000e+00	-4.449999e+00	-2.524450e-09
-4.440000000000000e+00	-4.440000e+00	-2.524440e-09
-4.430000000000000e+00	-4.429999e+00	-2.524430e-09
-4.420000000000000e+00	-4.420000e+00	-2.524420e-09
-4.410000000000000e+00	-4.409999e+00	-2.524410e-09
-4.400000000000000e+00	-4.400000e+00	-2.524400e-09
-4.390000000000000e+00	-4.389999e+00	-2.524390e-09
-4.380000000000000e+00	-4.380000e+00	-2.524380e-09
-4.370000000000000e+00	-4.369999e+00	-2.524370e-09
-4.360000000000000e+00	-4.360000e+00	-2.524360e-09
-4.350000000000000e+00	-4.349999e+00	-2.524350e-09
-4.340000000000000e+00	-4.340000e+00	-2.524340e-09
-4.330000000000000e+00	-4.329999e+00	-2.524330e-09
-4.320000000000000e+00	-4.320000e+00	-2.524320e-09
-4.310000000000000e+00	-4.309999e+00	-2.524310e-09
-4.300000000000000e+00	-4.300000e+00	-2.524300e-09
-4.290000000000000e+00	-4.289999e+00	-2.524290e-09
-4.280000000000000e+00	-4.280000e+00	-2.524280e-09
-4.270000000000000e+00	-4.270000e+00	-2.524270e-09
-4.260000000000000e+00	-4.259999e+00	-2.524260e-09
-4.250000000000000e+00	-4.250000e+00	-2.524250e-09
