#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA294A
#Date Time: 2025-11-21 18:49:42.877
#Sample rate: 46274.9Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 50 Hz
#Period: 20 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0

Time (s)	Channel 1 (V)	Channel 2 (V)
-0.08592947082185304	-7.400933384679921	-7.406789478540386
-0.08590786082185303	-7.441648406938532	-7.447641017576896
-0.08588625082185306	-7.482363429197067	-7.484778780337295
-0.08586464082185305	-7.519377085795807	-7.525630319373803
-0.08584303082185304	-7.560092108054397	-7.566481858410297
-0.08582142082185304	-7.600807130313007	-7.603619621170765
-0.08579981082185303	-7.637820786911727	-7.644471160207258
-0.08577820082185306	-7.67853580917028	-7.681608922967674
-0.08575659082185305	-7.71554946576902	-7.718746685728139
-0.08573498082185305	-7.75626448802761	-7.75959822476463
-0.08571337082185304	-7.796979510286221	-7.800449763801144
-0.08569176082185304	-7.830291801225068	-7.833873750285547
-0.08567015082185306	-7.871006823483622	-7.874725289322003
-0.08564854082185305	-7.911721845742232	-7.915576828358516
-0.08562693082185305	-7.948735502340954	-7.952714591118967
-0.08560532082185304	-7.993151890259433	-7.993566130155477
-0.08558371082185304	-8.030165546858154	-8.030703892915925
-0.08556210082185303	-8.070880569116762	-8.075269208228482
-0.08554049082185305	-8.107894225715432	-8.112406970988879
-0.08551888082185305	-8.144907882314168	-8.149544733749343
-0.08549727082185304	-8.189324270232628	-8.190396272785836
-0.08547566082185304	-8.226337926831368	-8.227534035546304
-0.08545405082185303	-8.263351583430106	-8.268385574582815
-0.08543244082185306	-8.307767971348509	-8.305523337343212
-0.08541083082185305	-8.341080262287383	-8.342661100103678
-0.08538922082185305	-8.385496650205843	-8.383512639140172
-0.08536761082185304	-8.422510306804581	-8.424364178176683
-0.08534600082185304	-8.455822597743429	-8.457788164661086
-0.08532439082185306	-8.500238985661852	-8.502353479973584
-0.08530278082185305	-8.537252642260595	-8.539491242734057
-0.08528117082185305	-8.574266298859316	-8.576629005494505
-0.08525956082185304	-8.614981321117924	-8.617480544531016
-0.08523795082185304	-8.655696343376514	-8.654618307291464
-0.08521634082185306	-8.696411365635068	-8.699183622603963
-0.08519473082185305	-8.733425022233792	-8.736321385364418
-0.08517312082185305	-8.774140044492398	-8.773459148124884
-0.08515151082185304	-8.811153701091136	-8.814310687161395
