V1	V(N002,N003)	Ix(D1:+)
-5.000000000000000e+00	-4.999997e+00	-1.362432e-08
-4.990000000000000e+00	-4.989997e+00	-1.362346e-08
-4.980000000000000e+00	-4.979997e+00	-1.362259e-08
-4.970000000000000e+00	-4.969997e+00	-1.362172e-08
-4.960000000000000e+00	-4.959997e+00	-1.362086e-08
-4.950000000000000e+00	-4.949997e+00	-1.361999e-08
-4.940000000000000e+00	-4.939997e+00	-1.361913e-08
-4.930000000000000e+00	-4.929997e+00	-1.361826e-08
-4.920000000000000e+00	-4.919997e+00	-1.361739e-08
-4.910000000000000e+00	-4.909997e+00	-1.361653e-08
-4.900000000000000e+00	-4.899997e+00	-1.361566e-08
-4.890000000000000e+00	-4.889997e+00	-1.361479e-08
-4.880000000000000e+00	-4.879997e+00	-1.361393e-08
-4.870000000000000e+00	-4.869998e+00	-1.361306e-08
-4.860000000000000e+00	-4.859997e+00	-1.361219e-08
-4.850000000000000e+00	-4.849997e+00	-1.361132e-08
-4.840000000000000e+00	-4.839997e+00	-1.361046e-08
-4.830000000000000e+00	-4.829997e+00	-1.360959e-08
-4.820000000000000e+00	-4.819997e+00	-1.360872e-08
-4.810000000000000e+00	-4.809997e+00	-1.360785e-08
-4.800000000000000e+00	-4.799997e+00	-1.360698e-08
-4.790000000000000e+00	-4.789997e+00	-1.360612e-08
-4.780000000000000e+00	-4.779997e+00	-1.360525e-08
-4.770000000000000e+00	-4.769997e+00	-1.360438e-08
-4.760000000000000e+00	-4.759997e+00	-1.360351e-08
-4.750000000000000e+00	-4.749997e+00	-1.360264e-08
-4.740000000000000e+00	-4.739997e+00	-1.360177e-08
-4.730000000000000e+00	-4.729997e+00	-1.360090e-08
-4.720000000000000e+00	-4.719997e+00	-1.360003e-08
-4.710000000000000e+00	-4.709997e+00	-1.359916e-08
-4.700000000000000e+00	-4.699997e+00	-1.359829e-08
-4.690000000000000e+00	-4.689997e+00	-1.359742e-08
-4.680000000000000e+00	-4.679997e+00	-1.359655e-08
-4.670000000000000e+00	-4.669997e+00	-1.359568e-08
-4.660000000000000e+00	-4.659997e+00	-1.359481e-08
-4.650000000000000e+00	-4.649997e+00	-1.359394e-08
-4.640000000000000e+00	-4.639997e+00	-1.359307e-08
-4.630000000000000e+00	-4.629997e+00	-1.359220e-08
-4.620000000000000e+00	-4.619998e+00	-1.359133e-08
-4.610000000000000e+00	-4.609997e+00	-1.359046e-08
-4.600000000000000e+00	-4.599998e+00	-1.358959e-08
-4.590000000000000e+00	-4.589997e+00	-1.358871e-08
-4.580000000000000e+00	-4.579997e+00	-1.358784e-08
-4.570000000000000e+00	-4.569997e+00	-1.358697e-08
-4.560000000000000e+00	-4.559997e+00	-1.358610e-08
-4.550000000000000e+00	-4.549997e+00	-1.358523e-08
-4.540000000000000e+00	-4.539997e+00	-1.358435e-08
-4.530000000000000e+00	-4.529997e+00	-1.358348e-08
-4.520000000000000e+00	-4.519997e+00	-1.358261e-08
-4.510000000000000e+00	-4.509997e+00	-1.358174e-08
-4.500000000000000e+00	-4.499997e+00	-1.358086e-08
-4.490000000000000e+00	-4.489997e+00	-1.357999e-08
-4.480000000000000e+00	-4.479997e+00	-1.357912e-08
-4.470000000000000e+00	-4.469997e+00	-1.357824e-08
-4.460000000000000e+00	-4.459997e+00	-1.357737e-08
-4.450000000000000e+00	-4.449997e+00	-1.357649e-08
-4.440000000000000e+00	-4.439997e+00	-1.357562e-08
-4.430000000000000e+00	-4.429997e+00	-1.357475e-08
-4.420000000000000e+00	-4.419997e+00	-1.357387e-08
-4.410000000000000e+00	-4.409997e+00	-1.357300e-08
-4.400000000000000e+00	-4.399997e+00	-1.357212e-08
-4.390000000000000e+00	-4.389997e+00	-1.357125e-08
-4.380000000000000e+00	-4.379997e+00	-1.357037e-08
-4.370000000000000e+00	-4.369998e+00	-1.356950e-08
-4.360000000000000e+00	-4.359997e+00	-1.356862e-08
-4.350000000000000e+00	-4.349998e+00	-1.356775e-08
-4.340000000000000e+00	-4.339997e+00	-1.356687e-08
-4.330000000000000e+00	-4.329997e+00	-1.356599e-08
-4.320000000000000e+00	-4.319997e+00	-1.356512e-08
-4.310000000000000e+00	-4.309997e+00	-1.356424e-08
-4.300000000000000e+00	-4.299997e+00	-1.356336e-08
-4.290000000000000e+00	-4.289997e+00	-1.356249e-08
-4.280000000000000e+00	-4.279997e+00	-1.356161e-08
-4.270000000000000e+00	-4.269997e+00	-1.356073e-08
-4.260000000000000e+00	-4.259997e+00	-1.355986e-08
-4.250000000000000e+00	-4.249997e+00	-1.355898e-08
-4.240000000000000e+00	-4.239997e+00	-1.355810e-08
-4.230000000000000e+00	-4.229997e+00	-1.355722e-08
-4.220000000000000e+00	-4.219997e+00	-1.355635e-08
-4.210000000000000e+00	-4.209997e+00	-1.355547e-08
-4.200000000000000e+00	-4.199997e+00	-1.355459e-08
-4.190000000000000e+00	-4.189997e+00	-1.355371e-08
-4.180000000000000e+00	-4.179997e+00	-1.355283e-08
-4.170000000000000e+00	-4.169997e+00	-1.355195e-08
-4.160000000000000e+00	-4.159997e+00	-1.355107e-08
-4.150000000000000e+00	-4.149997e+00	-1.355019e-08
-4.140000000000000e+00	-4.139997e+00	-1.354931e-08
-4.130000000000000e+00	-4.129997e+00	-1.354844e-08
-4.120000000000000e+00	-4.119998e+00	-1.354756e-08
-4.110000000000000e+00	-4.109997e+00	-1.354667e-08
-4.100000000000000e+00	-4.099998e+00	-1.354579e-08
-4.090000000000000e+00	-4.089997e+00	-1.354491e-08
-4.080000000000000e+00	-4.079997e+00	-1.354403e-08
-4.070000000000000e+00	-4.069997e+00	-1.354315e-08
-4.060000000000000e+00	-4.059997e+00	-1.354227e-08
-4.050000000000000e+00	-4.049997e+00	-1.354139e-08
-4.040000000000000e+00	-4.039997e+00	-1.354051e-08
-4.030000000000000e+00	-4.029997e+00	-1.353963e-08
-4.020000000000000e+00	-4.019997e+00	-1.353875e-08
-4.010000000000000e+00	-4.009997e+00	-1.353786e-08
-4.000000000000000e+00	-3.999997e+00	-1.353698e-08
-3.990000000000000e+00	-3.989997e+00	-1.353610e-08
-3.980000000000000e+00	-3.979997e+00	-1.353522e-08
-3.970000000000000e+00	-3.969997e+00	-1.353433e-08
-3.960000000000000e+00	-3.959997e+00	-1.353345e-08
-3.950000000000000e+00	-3.949997e+00	-1.353257e-08
-3.940000000000000e+00	-3.939997e+00	-1.353168e-08
-3.930000000000000e+00	-3.929997e+00	-1.353080e-08
-3.920000000000000e+00	-3.919997e+00	-1.352992e-08
-3.910000000000000e+00	-3.909997e+00	-1.352903e-08
-3.900000000000000e+00	-3.899997e+00	-1.352815e-08
-3.890000000000000e+00	-3.889997e+00	-1.352726e-08
-3.880000000000000e+00	-3.879997e+00	-1.352638e-08
-3.870000000000000e+00	-3.869997e+00	-1.352549e-08
-3.860000000000000e+00	-3.859997e+00	-1.352461e-08
-3.850000000000000e+00	-3.849997e+00	-1.352372e-08
-3.840000000000000e+00	-3.839997e+00	-1.352284e-08
-3.830000000000000e+00	-3.829997e+00	-1.352195e-08
-3.820000000000000e+00	-3.819997e+00	-1.352107e-08
-3.810000000000000e+00	-3.809997e+00	-1.352018e-08
