V1	Ix(D1:+)
-5.000000000000000e+00	-5.575802e-03
-4.990000000000000e+00	-5.526900e-03
-4.980000000000000e+00	-5.477837e-03
-4.970000000000000e+00	-5.428995e-03
-4.960000000000000e+00	-5.380164e-03
-4.950000000000000e+00	-5.331343e-03
-4.940000000000000e+00	-5.282532e-03
-4.930000000000000e+00	-5.233733e-03
-4.920000000000000e+00	-5.184944e-03
-4.910000000000000e+00	-5.136166e-03
-4.900000000000000e+00	-5.087400e-03
-4.890000000000000e+00	-5.038646e-03
-4.880000000000000e+00	-4.989902e-03
-4.870000000000000e+00	-4.941172e-03
-4.860000000000000e+00	-4.892453e-03
-4.850000000000000e+00	-4.843747e-03
-4.840000000000000e+00	-4.795054e-03
-4.830000000000000e+00	-4.746373e-03
-4.820000000000000e+00	-4.697706e-03
-4.810000000000000e+00	-4.649053e-03
-4.800000000000000e+00	-4.600413e-03
-4.790000000000000e+00	-4.551787e-03
-4.780000000000000e+00	-4.503176e-03
-4.770000000000000e+00	-4.454579e-03
-4.760000000000000e+00	-4.405997e-03
-4.750000000000000e+00	-4.357431e-03
-4.740000000000000e+00	-4.308879e-03
-4.730000000000000e+00	-4.260344e-03
-4.720000000000000e+00	-4.211826e-03
-4.710000000000000e+00	-4.163323e-03
-4.700000000000000e+00	-4.114839e-03
-4.690000000000000e+00	-4.066371e-03
-4.680000000000000e+00	-4.017921e-03
-4.670000000000000e+00	-3.969489e-03
-4.660000000000000e+00	-3.921076e-03
-4.650000000000000e+00	-3.872682e-03
-4.640000000000000e+00	-3.824308e-03
-4.630000000000000e+00	-3.775954e-03
-4.620000000000000e+00	-3.727620e-03
-4.610000000000000e+00	-3.679307e-03
-4.600000000000000e+00	-3.631016e-03
-4.590000000000000e+00	-3.582746e-03
-4.580000000000000e+00	-3.534500e-03
-4.570000000000000e+00	-3.486276e-03
-4.560000000000000e+00	-3.438077e-03
-4.550000000000000e+00	-3.389901e-03
-4.540000000000000e+00	-3.341752e-03
-4.530000000000000e+00	-3.293628e-03
-4.520000000000000e+00	-3.245530e-03
-4.510000000000000e+00	-3.197460e-03
-4.500000000000000e+00	-3.149418e-03
-4.490000000000000e+00	-3.101405e-03
