V1	V(N002,N003)	Ix(D1:+)
-4.297000000000000e+00	-3.860623e+00	-2.181884e-03
-4.287000000000000e+00	-3.860058e+00	-2.134710e-03
-4.277000000000000e+00	-3.859481e+00	-2.087597e-03
-4.266999999999999e+00	-3.858891e+00	-2.040545e-03
-4.257000000000000e+00	-3.858288e+00	-1.993557e-03
-4.247000000000000e+00	-3.857672e+00	-1.946638e-03
-4.237000000000000e+00	-3.857042e+00	-1.899788e-03
-4.226999999999999e+00	-3.856398e+00	-1.853012e-03
-4.217000000000000e+00	-3.855737e+00	-1.806313e-03
-4.207000000000000e+00	-3.855061e+00	-1.759695e-03
-4.197000000000000e+00	-3.854368e+00	-1.713161e-03
-4.186999999999999e+00	-3.853657e+00	-1.666715e-03
-4.177000000000000e+00	-3.852927e+00	-1.620363e-03
-4.167000000000000e+00	-3.852178e+00	-1.574108e-03
-4.157000000000000e+00	-3.851409e+00	-1.527956e-03
-4.146999999999999e+00	-3.850617e+00	-1.481913e-03
-4.137000000000000e+00	-3.849803e+00	-1.435985e-03
-4.127000000000000e+00	-3.848964e+00	-1.390178e-03
-4.117000000000000e+00	-3.848100e+00	-1.344498e-03
-4.106999999999999e+00	-3.847209e+00	-1.298955e-03
-4.097000000000000e+00	-3.846289e+00	-1.253556e-03
-4.087000000000000e+00	-3.845338e+00	-1.208310e-03
-4.077000000000000e+00	-3.844354e+00	-1.163228e-03
-4.066999999999999e+00	-3.843336e+00	-1.118319e-03
-4.056999999999999e+00	-3.842281e+00	-1.073597e-03
-4.047000000000000e+00	-3.841185e+00	-1.029075e-03
-4.037000000000000e+00	-3.840047e+00	-9.847665e-04
-4.026999999999999e+00	-3.838862e+00	-9.406886e-04
-4.016999999999999e+00	-3.837628e+00	-8.968591e-04
-4.007000000000000e+00	-3.836340e+00	-8.532982e-04
-3.997000000000000e+00	-3.834994e+00	-8.100282e-04
-3.987000000000000e+00	-3.833585e+00	-7.670745e-04
-3.977000000000000e+00	-3.832107e+00	-7.244654e-04
-3.967000000000000e+00	-3.830553e+00	-6.822330e-04
-3.957000000000000e+00	-3.828917e+00	-6.404137e-04
-3.947000000000000e+00	-3.827190e+00	-5.990497e-04
-3.937000000000000e+00	-3.825363e+00	-5.581858e-04
-3.927000000000000e+00	-3.823424e+00	-5.178788e-04
-3.917000000000000e+00	-3.821362e+00	-4.781902e-04
-3.907000000000000e+00	-3.819162e+00	-4.391921e-04
-3.897000000000000e+00	-3.816806e+00	-4.009678e-04
-3.887000000000000e+00	-3.814277e+00	-3.636142e-04
-3.877000000000000e+00	-3.811551e+00	-3.272436e-04
-3.867000000000000e+00	-3.808603e+00	-2.919870e-04
-3.857000000000000e+00	-3.805415e+00	-2.581267e-04
-3.847000000000000e+00	-3.801913e+00	-2.254378e-04
-3.837000000000000e+00	-3.798097e+00	-1.945178e-04
-3.827000000000000e+00	-3.793910e+00	-1.654487e-04
-3.817000000000000e+00	-3.789306e+00	-1.384697e-04
-3.806999999999999e+00	-3.784236e+00	-1.138208e-04
-3.797000000000000e+00	-3.778654e+00	-9.172850e-05
-3.787000000000000e+00	-3.772525e+00	-7.237480e-05
-3.777000000000000e+00	-3.765831e+00	-5.587234e-05
-3.766999999999999e+00	-3.758564e+00	-4.218578e-05
-3.757000000000000e+00	-3.750760e+00	-3.119880e-05
-3.747000000000000e+00	-3.742471e+00	-2.264423e-05
-3.737000000000000e+00	-3.733766e+00	-1.617266e-05
-3.726999999999999e+00	-3.724720e+00	-1.139989e-05
-3.717000000000000e+00	-3.715409e+00	-7.953631e-06
-3.707000000000000e+00	-3.705900e+00	-5.506701e-06
-3.697000000000000e+00	-3.696242e+00	-3.790825e-06
-3.687000000000000e+00	-3.686480e+00	-2.599104e-06
-3.677000000000000e+00	-3.676645e+00	-1.776950e-06
-3.667000000000000e+00	-3.666758e+00	-1.212446e-06
-3.657000000000000e+00	-3.656835e+00	-8.261363e-07
-3.647000000000000e+00	-3.646888e+00	-5.623800e-07
-3.637000000000000e+00	-3.636924e+00	-3.825837e-07
-3.627000000000000e+00	-3.626948e+00	-2.601543e-07
-3.617000000000000e+00	-3.616965e+00	-1.768500e-07
-3.607000000000000e+00	-3.606976e+00	-1.201963e-07
-3.597000000000000e+00	-3.596984e+00	-8.168044e-08
-3.587000000000000e+00	-3.586989e+00	-5.550172e-08
-3.577000000000000e+00	-3.576993e+00	-3.771125e-08
-3.567000000000000e+00	-3.566995e+00	-2.562255e-08
-3.556999999999999e+00	-3.556997e+00	-1.740884e-08
-3.547000000000000e+00	-3.546998e+00	-1.182828e-08
-3.537000000000000e+00	-3.536999e+00	-8.036873e-09
-3.527000000000000e+00	-3.526999e+00	-5.461059e-09
-3.516999999999999e+00	-3.516999e+00	-3.711127e-09
