#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA294A
#Date Time: 2025-11-21 19:22:57.769
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: Custom1
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 5 V
#Offset: 0 V
#Phase: 0 °

Time (s)	Channel 1 (V)	Channel 2 (V)
-0.0512	-0.5311987199575767	-1.617012264186415
-0.0511875	-0.5311987199575767	-1.617012264186413
-0.051175	-0.5311987199575767	-1.61329848791037
-0.0511625	-0.4830809663792414	-1.513026528457158
-0.05115	-0.275804489426412	-1.286486175618421
-0.0511375	-0.275804489426412	-1.282772399342376
-0.051125	-0.2758044894264103	-1.286486175618421
-0.0511125	-0.2721031237665401	-1.286486175618421
-0.0511	-0.275804489426412	-1.286486175618421
-0.0510875	-0.275804489426412	-1.29391372817051
-0.051075	-0.2795058550862839	-1.290199951894466
-0.0510625	-0.2758044894264137	-1.290199951894466
-0.05105	-0.2795058550862839	-1.290199951894466
-0.0510375	-0.275804489426412	-1.290199951894466
-0.051025	-0.275804489426412	-1.290199951894466
-0.0510125	-0.275804489426412	-1.286486175618421
-0.051	-0.275804489426412	-1.290199951894466
-0.0509875	-0.275804489426412	-1.290199951894466
-0.050975	-0.275804489426412	-1.290199951894466
-0.0509625	-0.275804489426412	-1.290199951894466
-0.05095	-0.275804489426412	-1.290199951894466
-0.0509375	-0.2758044894264137	-1.290199951894466
-0.050925	-0.2795058550862839	-1.290199951894466
-0.0509125	-0.1314512286914059	-1.000525402362965
-0.0509	-0.07593074379332655	-0.9485325344983364
-0.0508875	-0.0796321094531985	-0.9485325344983364
-0.050875	-0.07963210945320018	-0.9522463107743813
-0.0508625	-0.08333347511307046	-0.9522463107743813
-0.05085	-0.08333347511307046	-0.9559600870504261
-0.0508375	-0.08333347511307046	-0.9559600870504261
-0.050825	-0.08333347511307046	-0.959673863326471
-0.0508125	-0.08333347511307046	-0.9559600870504278
-0.0508	-0.08333347511307046	-0.959673863326471
-0.0507875	-0.08333347511307046	-0.9559600870504261
-0.050775	-0.08333347511307046	-0.959673863326471
-0.0507625	-0.08333347511307046	-0.9559600870504261
-0.05075	-0.08333347511307046	-0.9559600870504261
-0.0507375	-0.08333347511307046	-0.959673863326471
-0.050725	-0.08333347511307046	-0.9559600870504261
-0.0507125	-0.08333347511307046	-0.9559600870504261
-0.0507	-0.08333347511307046	-0.959673863326471
-0.0506875	-0.08333347511307046	-0.959673863326471
-0.050675	-0.06852801247358264	-0.8148365885607206
-0.0506625	-0.03151435587486311	-0.6068651171022073
-0.05065	-0.03151435587486311	-0.6068651171022073
-0.0506375	-0.02781299021499116	-0.6068651171022073
-0.050625	-0.03151435587486143	-0.6105788933782504
-0.0506125	-0.03151435587486311	-0.6142926696542971
-0.0506	-0.03151435587486311	-0.6142926696542971
-0.0505875	-0.03151435587486311	-0.6142926696542971
-0.050575	-0.03151435587486311	-0.6142926696542971
-0.0505625	-0.03151435587486311	-0.6142926696542971
-0.05055	-0.03151435587486311	-0.6142926696542971
-0.0505375	-0.03151435587486311	-0.6142926696542971
-0.050525	-0.03151435587486311	-0.6142926696542971
-0.0505125	-0.02781299021499116	-0.6180064459303419
-0.0505	-0.03151435587486143	-0.6180064459303419
-0.0504875	-0.03151435587486311	-0.6142926696542971
-0.050475	-0.03151435587486311	-0.6180064459303419
-0.0504625	-0.03151435587486311	-0.6180064459303419
-0.05045	-0.03151435587486311	-0.6180064459303419
-0.0504375	-0.02781299021499284	-0.6142926696542987
-0.050425	-0.02781299021499116	-0.2763390285342128
-0.0504125	-0.02781299021499116	-0.2614839234300333
-0.0504	-0.02781299021499116	-0.2614839234300333
-0.0503875	-0.02781299021499116	-0.2651976997060781
-0.050375	-0.02781299021499116	-0.261483923430035
-0.0503625	-0.02781299021499116	-0.2651976997060781
-0.05035	-0.02781299021499116	-0.2651976997060781
-0.0503375	-0.02781299021499116	-0.2651976997060781
-0.050325	-0.02781299021499116	-0.2651976997060781
-0.0503125	-0.02781299021499116	-0.2651976997060781
-0.0503	-0.02781299021499116	-0.2651976997060781
-0.0502875	-0.02781299021499116	-0.2651976997060781
-0.050275	-0.02781299021499116	-0.2651976997060781
-0.0502625	-0.02781299021499116	-0.2651976997060781
-0.05025	-0.02781299021499116	-0.2651976997060781
-0.0502375	-0.02781299021499116	-0.2689114759821231
-0.050225	-0.02781299021499116	-0.2689114759821231
-0.0502125	-0.02781299021499116	-0.2651976997060781
-0.0502	-0.02781299021499116	-0.2651976997060781
-0.0501875	-0.03151435587486143	-0.08322266217996169
-0.050175	-0.02781299021499116	0.08761104651818559
-0.0501625	-0.02781299021499116	0.09132482279423047
-0.05015	-0.02781299021499116	0.08761104651818559
-0.0501375	-0.02781299021499116	0.08761104651818559
-0.050125	-0.02781299021499116	0.0801834939660992
-0.0501125	-0.02781299021499116	0.08761104651818559
-0.0501	-0.02781299021499116	0.08389727024214071
-0.0500875	-0.02781299021499116	0.08389727024214071
-0.050075	-0.02781299021499116	0.08389727024214071
-0.0500625	-0.02781299021499116	0.08389727024214071
-0.05005	-0.02411162455511921	0.08389727024214071
-0.0500375	-0.02411162455511921	0.08389727024214071
-0.050025	-0.02411162455511921	0.08389727024214071
-0.0500125	-0.02781299021499116	0.08389727024214071
-0.05	-0.02781299021499116	0.08389727024214071
-0.0499875	-0.02781299021499116	0.08389727024214071
-0.049975	-0.02781299021499116	0.08389727024214071
-0.0499625	-0.02781299021499116	0.08389727024214071
-0.04995	-0.02781299021499116	0.1024661516223651
-0.0499375	-0.02781299021499116	0.4404197927424494
-0.049925	-0.02781299021499116	0.4367060164664044
-0.0499125	-0.02781299021499116	0.4329922401903596
-0.0499	-0.02781299021499116	0.4329922401903596
-0.0498875	-0.02781299021499116	0.4329922401903596
-0.049875	-0.02781299021499116	0.4329922401903596
-0.0498625	-0.02781299021499116	0.4292784639143163
-0.04985	-0.02781299021499116	0.4329922401903596
-0.0498375	-0.02781299021499116	0.4292784639143147
-0.049825	-0.02781299021499116	0.4329922401903596
-0.0498125	-0.02781299021499116	0.4329922401903596
-0.0498	-0.02781299021499116	0.4292784639143147
-0.0497875	-0.02781299021499116	0.4292784639143147
-0.049775	-0.02781299021499116	0.4292784639143147
-0.0497625	-0.02781299021499116	0.4292784639143147
-0.04975	-0.02781299021499116	0.4292784639143147
-0.0497375	-0.02781299021499116	0.4292784639143147
-0.049725	-0.02781299021499116	0.4292784639143147
-0.0497125	-0.02781299021499116	0.4292784639143147
-0.0497	-0.03891708719460702	0.6446774879249179
-0.0496875	-0.04631981851435092	0.7820872101385784
-0.049675	-0.05002118417422288	0.7820872101385767
-0.0496625	-0.05002118417422288	0.7783734338625335
-0.04965	-0.05002118417422288	0.7783734338625335
-0.0496375	-0.04631981851435092	0.7783734338625335
-0.049625	-0.04631981851435092	0.7783734338625335
-0.0496125	-0.04631981851435092	0.7783734338625319
-0.0496	-0.04631981851435092	0.7746596575864887
-0.0495875	-0.04631981851435092	0.7746596575864887
-0.049575	-0.05002118417422288	0.7746596575864887
-0.0495625	-0.04631981851435092	0.7746596575864887
-0.04955	-0.04631981851435092	0.7746596575864887
-0.0495375	-0.04631981851435092	0.7746596575864887
-0.049525	-0.05002118417422288	0.7746596575864887
-0.0495125	-0.05002118417422288	0.7746596575864887
-0.0495	-0.04631981851435092	0.7746596575864887
-0.0494875	-0.05002118417422288	0.7746596575864887
-0.049475	-0.05002118417422288	0.7746596575864887
-0.0494625	-0.05742391549396678	0.8303663017271619
-0.04945	-0.1906730792493571	1.123754627534708
-0.0494375	-0.1906730792493571	1.120040851258663
-0.049425	-0.194374444909229	1.120040851258663
-0.0494125	-0.194374444909229	1.120040851258663
-0.0494	-0.1906730792493571	1.112613298706573
-0.0493875	-0.1906730792493571	1.112613298706573
-0.049375	-0.1906730792493571	1.116327074982618
-0.0493625	-0.1943744449092273	1.112613298706573
-0.04935	-0.1906730792493571	1.112613298706573
-0.0493375	-0.1906730792493571	1.112613298706573
-0.049325	-0.1906730792493571	1.112613298706573
-0.0493125	-0.1906730792493571	1.112613298706573
-0.0493	-0.1906730792493588	1.116327074982616
-0.0492875	-0.194374444909229	1.112613298706573
-0.049275	-0.1906730792493571	1.112613298706573
-0.0492625	-0.1906730792493571	1.112613298706573
-0.04925	-0.1906730792493571	1.112613298706573
-0.0492375	-0.1869717135894868	1.112613298706573
-0.049225	-0.1906730792493571	1.112613298706573
-0.0492125	-0.3350263399843633	1.35400875664949
-0.0492	-0.434963212800906	1.446853163550612
-0.0491875	-0.434963212800906	1.450566939826657
-0.049175	-0.434963212800906	1.450566939826657
-0.0491625	-0.434963212800906	1.443139387274567
-0.04915	-0.431261847141034	1.446853163550612
-0.0491375	-0.431261847141034	1.443139387274567
-0.049125	-0.431261847141034	1.443139387274567
-0.0491125	-0.431261847141034	1.443139387274567
-0.0491	-0.431261847141034	1.443139387274567
-0.0490875	-0.431261847141034	1.443139387274567
-0.049075	-0.431261847141034	1.443139387274567
-0.0490625	-0.431261847141034	1.443139387274567
-0.04905	-0.4349632128009043	1.443139387274567
-0.0490375	-0.431261847141034	1.443139387274567
-0.049025	-0.431261847141034	1.443139387274567
-0.0490125	-0.431261847141034	1.443139387274567
-0.049	-0.4275604814811621	1.443139387274567
-0.0489875	-0.4275604814811621	1.439425610998524
-0.048975	-0.4756782350594975	1.5285562416236
-0.0489625	-0.6977601746518146	1.769951699566517
-0.04895	-0.7014615403116866	1.769951699566517
-0.0489375	-0.6977601746518146	1.762524147014427
-0.048925	-0.6977601746518146	1.762524147014427
-0.0489125	-0.6977601746518146	1.762524147014427
-0.0489	-0.7014615403116866	1.762524147014427
-0.0488875	-0.7014615403116866	1.762524147014427
-0.048875	-0.6977601746518146	1.762524147014427
-0.0488625	-0.701461540311685	1.758810370738384
-0.04885	-0.6977601746518146	1.762524147014427
-0.0488375	-0.7014615403116866	1.758810370738382
-0.048825	-0.6977601746518146	1.762524147014427
-0.0488125	-0.7014615403116866	1.758810370738382
-0.0488	-0.6977601746518163	1.762524147014426
-0.0487875	-0.6977601746518146	1.758810370738382
-0.048775	-0.7014615403116866	1.762524147014427
-0.0487625	-0.6977601746518146	1.762524147014427
-0.04875	-0.6977601746518146	1.762524147014427
-0.0487375	-0.6977601746518146	1.762524147014427
-0.048725	-0.8902311889651562	2.018774710061524
-0.0487125	-0.9753625991422111	2.078195130478242
-0.0487	-0.9716612334823391	2.074481354202197
-0.0486875	-0.9716612334823391	2.074481354202197
-0.048675	-0.9716612334823391	2.074481354202197
-0.0486625	-0.9679598678224672	2.070767577926152
-0.04865	-0.9716612334823391	2.074481354202197
-0.0486375	-0.9716612334823391	2.070767577926152
-0.048625	-0.9679598678224672	2.074481354202197
-0.0486125	-0.9716612334823375	2.074481354202197
-0.0486	-0.9679598678224672	2.070767577926152
-0.0485875	-0.9679598678224672	2.070767577926152
-0.048575	-0.9679598678224672	2.070767577926152
-0.0485625	-0.9679598678224672	2.070767577926152
-0.04855	-0.9716612334823375	2.070767577926152
-0.0485375	-0.9716612334823391	2.070767577926152
-0.048525	-0.9716612334823391	2.070767577926152
-0.0485125	-0.9679598678224672	2.067053801650108
-0.0485	-0.9679598678224672	2.070767577926152
-0.0484875	-1.038285815360034	2.178467089931454
-0.048475	-1.241860926652992	2.375297232561833
-0.0484625	-1.23815956099312	2.371583456285788
-0.04845	-1.241860926652992	2.371583456285788
-0.0484375	-1.23815956099312	2.367869680009743
-0.048425	-1.23815956099312	2.367869680009743
-0.0484125	-1.23815956099312	2.367869680009743
-0.0484	-1.234458195333248	2.367869680009743
-0.0483875	-1.23815956099312	2.367869680009743
-0.048375	-1.234458195333248	2.364155903733698
-0.0483625	-1.23815956099312	2.367869680009743
-0.04835	-1.234458195333248	2.367869680009741
-0.0483375	-1.234458195333248	2.364155903733698
-0.048325	-1.234458195333248	2.367869680009743
-0.0483125	-1.23815956099312	2.364155903733698
-0.0483	-1.234458195333248	2.367869680009743
-0.0482875	-1.234458195333248	2.3641559037337
-0.048275	-1.234458195333248	2.367869680009743
-0.0482625	-1.23815956099312	2.364155903733698
-0.04825	-1.234458195333248	2.364155903733698
-0.0482375	-1.449137403605821	2.631547795608929
-0.048225	-1.497255157184158	2.653830453265197
